timeframe,group,category,year,metric,value,segment,state,region,aggregation,states_included
mid-year,hunt,18-24,2012,participants,8289.621743655902,age,FL,Southeast,NONE,NA
mid-year,hunt,18-24,2013,participants,9221.697200533232,age,FL,Southeast,NONE,NA
mid-year,hunt,18-24,2014,participants,9403.59840806434,age,FL,Southeast,NONE,NA
mid-year,hunt,18-24,2015,participants,8410.206806943419,age,FL,Southeast,NONE,NA
mid-year,hunt,18-24,2016,participants,7956.903175422907,age,FL,Southeast,NONE,NA
mid-year,hunt,18-24,2017,participants,7705.117100536891,age,FL,Southeast,NONE,NA
mid-year,hunt,18-24,2018,participants,7665.706500681191,age,FL,Southeast,NONE,NA
mid-year,hunt,18-24,2019,participants,5167.7207787378975,age,FL,Southeast,NONE,NA
mid-year,hunt,18-24,2014,participants - recruited,3649.9621446149013,age,FL,Southeast,NONE,NA
mid-year,hunt,18-24,2015,participants - recruited,3263.710009409551,age,FL,Southeast,NONE,NA
mid-year,hunt,18-24,2016,participants - recruited,2988.8430396772023,age,FL,Southeast,NONE,NA
mid-year,hunt,18-24,2017,participants - recruited,2904.4556303691666,age,FL,Southeast,NONE,NA
mid-year,hunt,18-24,2018,participants - recruited,2788.6932794815198,age,FL,Southeast,NONE,NA
mid-year,hunt,18-24,2019,participants - recruited,2055.1054466004266,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2010,participants,118458.07007110913,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2011,participants,138437.2255105459,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2012,participants,141387.39965639505,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2013,participants,153037.44891493637,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2014,participants,160077.29781900955,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2015,participants,170762.66538409612,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2016,participants,172345.92196659045,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2017,participants,173137.75034173904,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2018,participants,167267.07568685242,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2019,participants,173300.54123451328,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2014,participants - recruited,64120.68202134351,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2015,participants - recruited,66862.44175788978,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2016,participants - recruited,66698.96321861535,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2017,participants - recruited,63842.805570309385,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2018,participants - recruited,59374.29753856278,age,FL,Southeast,NONE,NA
mid-year,all_sports,25-34,2019,participants - recruited,62810.67546290302,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2010,participants,115698.89963178996,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2011,participants,135953.7284716428,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2012,participants,138834.3704567263,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2013,participants,150274.0479373937,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2014,participants,157292.48185051372,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2015,participants,168296.23895085457,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2016,participants,169690.8155733225,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2017,participants,170522.93019931272,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2018,participants,164425.3762783743,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2019,participants,169516.52658972758,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2014,participants - recruited,64206.773754492206,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2015,participants - recruited,67047.04579048682,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2016,participants - recruited,66806.3294457901,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2017,participants - recruited,63932.39105593359,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2018,participants - recruited,59295.07135236063,age,FL,Southeast,NONE,NA
mid-year,fish,25-34,2019,participants - recruited,62667.08900515795,age,FL,Southeast,NONE,NA
mid-year,hunt,25-34,2010,participants,14381.026119296239,age,FL,Southeast,NONE,NA
mid-year,hunt,25-34,2011,participants,14328.493691147418,age,FL,Southeast,NONE,NA
mid-year,hunt,25-34,2012,participants,14396.782783340419,age,FL,Southeast,NONE,NA
mid-year,hunt,25-34,2013,participants,16518.06476317436,age,FL,Southeast,NONE,NA
mid-year,hunt,25-34,2014,participants,16669.215710036355,age,FL,Southeast,NONE,NA
mid-year,hunt,25-34,2015,participants,17643.553744192785,age,FL,Southeast,NONE,NA
mid-year,hunt,25-34,2016,participants,16949.54087994861,age,FL,Southeast,NONE,NA
mid-year,hunt,25-34,2017,participants,16713.67169710739,age,FL,Southeast,NONE,NA
mid-year,hunt,25-34,2018,participants,17079.084392615645,age,FL,Southeast,NONE,NA
mid-year,hunt,25-34,2019,participants,13633.10204203043,age,FL,Southeast,NONE,NA
