timeframe,group,category,year,metric,value,segment,state,region,aggregation,states_included
mid-year,hunt,male,2012,participants,40204,gender,SC,Southeast,NONE,NA
mid-year,hunt,male,2013,participants,40872,gender,SC,Southeast,NONE,NA
mid-year,hunt,male,2014,participants,31394,gender,SC,Southeast,NONE,NA
mid-year,hunt,male,2015,participants,49285,gender,SC,Southeast,NONE,NA
mid-year,hunt,male,2016,participants,37513,gender,SC,Southeast,NONE,NA
mid-year,hunt,male,2017,participants,38745,gender,SC,Southeast,NONE,NA
mid-year,hunt,male,2018,participants,40855,gender,SC,Southeast,NONE,NA
mid-year,hunt,female,2009,participants,3710,gender,SC,Southeast,NONE,NA
mid-year,hunt,female,2010,participants,5631,gender,SC,Southeast,NONE,NA
mid-year,hunt,female,2011,participants,6721,gender,SC,Southeast,NONE,NA
mid-year,hunt,female,2012,participants,5685,gender,SC,Southeast,NONE,NA
mid-year,hunt,female,2013,participants,5524,gender,SC,Southeast,NONE,NA
mid-year,hunt,female,2014,participants,4509,gender,SC,Southeast,NONE,NA
mid-year,hunt,female,2015,participants,6069,gender,SC,Southeast,NONE,NA
mid-year,hunt,female,2016,participants,5414,gender,SC,Southeast,NONE,NA
mid-year,hunt,female,2017,participants,5624,gender,SC,Southeast,NONE,NA
mid-year,hunt,female,2018,participants,5812,gender,SC,Southeast,NONE,NA
mid-year,hunt,18-24,2009,participants,2487,age,SC,Southeast,NONE,NA
mid-year,hunt,18-24,2010,participants,4477,age,SC,Southeast,NONE,NA
mid-year,hunt,18-24,2011,participants,5379,age,SC,Southeast,NONE,NA
mid-year,hunt,18-24,2012,participants,3697,age,SC,Southeast,NONE,NA
mid-year,hunt,18-24,2013,participants,4003,age,SC,Southeast,NONE,NA
mid-year,hunt,18-24,2014,participants,2695,age,SC,Southeast,NONE,NA
mid-year,hunt,18-24,2015,participants,5749,age,SC,Southeast,NONE,NA
mid-year,hunt,18-24,2016,participants,4062,age,SC,Southeast,NONE,NA
mid-year,hunt,18-24,2017,participants,4217,age,SC,Southeast,NONE,NA
mid-year,hunt,18-24,2018,participants,4784,age,SC,Southeast,NONE,NA
mid-year,hunt,25-34,2009,participants,4878,age,SC,Southeast,NONE,NA
mid-year,hunt,25-34,2010,participants,7756,age,SC,Southeast,NONE,NA
mid-year,hunt,25-34,2011,participants,8427,age,SC,Southeast,NONE,NA
mid-year,hunt,25-34,2012,participants,5736,age,SC,Southeast,NONE,NA
mid-year,hunt,25-34,2013,participants,6120,age,SC,Southeast,NONE,NA
mid-year,hunt,25-34,2014,participants,4706,age,SC,Southeast,NONE,NA
mid-year,hunt,25-34,2015,participants,8636,age,SC,Southeast,NONE,NA
mid-year,hunt,25-34,2016,participants,6255,age,SC,Southeast,NONE,NA
mid-year,hunt,25-34,2017,participants,6637,age,SC,Southeast,NONE,NA
mid-year,hunt,25-34,2018,participants,7347,age,SC,Southeast,NONE,NA
mid-year,hunt,35-44,2009,participants,8031,age,SC,Southeast,NONE,NA
mid-year,hunt,35-44,2010,participants,11355,age,SC,Southeast,NONE,NA
mid-year,hunt,35-44,2011,participants,11902,age,SC,Southeast,NONE,NA
mid-year,hunt,35-44,2012,participants,8531,age,SC,Southeast,NONE,NA
mid-year,hunt,35-44,2013,participants,8420,age,SC,Southeast,NONE,NA
mid-year,hunt,35-44,2014,participants,6511,age,SC,Southeast,NONE,NA
mid-year,hunt,35-44,2015,participants,11333,age,SC,Southeast,NONE,NA
mid-year,hunt,35-44,2016,participants,8164,age,SC,Southeast,NONE,NA
mid-year,hunt,35-44,2017,participants,8343,age,SC,Southeast,NONE,NA
mid-year,hunt,35-44,2018,participants,8882,age,SC,Southeast,NONE,NA
mid-year,hunt,45-54,2009,participants,11215,age,SC,Southeast,NONE,NA
mid-year,hunt,45-54,2010,participants,14580,age,SC,Southeast,NONE,NA
mid-year,hunt,45-54,2011,participants,15098,age,SC,Southeast,NONE,NA
mid-year,hunt,45-54,2012,participants,12153,age,SC,Southeast,NONE,NA
