timeframe,group,category,year,metric,value,segment,state,region,aggregation,states_included
mid-year,hunt,all,2019,participants - recruited,9677,all,MO,Midwest,NONE,NA
mid-year,hunt,resident,2013,participants - recruited,6961,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2014,participants - recruited,6329,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2015,participants - recruited,6198,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2016,participants - recruited,6037,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2017,participants - recruited,5226,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2018,participants - recruited,5456,residency,MO,Midwest,NONE,NA
mid-year,hunt,resident,2019,participants - recruited,5029,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2013,participants - recruited,4394,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2014,participants - recruited,4791,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2015,participants - recruited,5086,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2016,participants - recruited,4793,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2017,participants - recruited,4619,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2018,participants - recruited,4899,residency,MO,Midwest,NONE,NA
mid-year,hunt,nonresident,2019,participants - recruited,4648,residency,MO,Midwest,NONE,NA
mid-year,hunt,male,2013,participants - recruited,9637,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2014,participants - recruited,9443,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2015,participants - recruited,9543,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2016,participants - recruited,9114,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2017,participants - recruited,8368,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2018,participants - recruited,8915,gender,MO,Midwest,NONE,NA
mid-year,hunt,male,2019,participants - recruited,8318,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2013,participants - recruited,1718,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2014,participants - recruited,1677,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2015,participants - recruited,1741,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2016,participants - recruited,1716,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2017,participants - recruited,1477,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2018,participants - recruited,1440,gender,MO,Midwest,NONE,NA
mid-year,hunt,female,2019,participants - recruited,1359,gender,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2013,participants - recruited,1753,age,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2014,participants - recruited,1637,age,MO,Midwest,NONE,NA
mid-year,hunt,18-24,2015,participants - recruited,1630,age,MO,Midwest,NONE,NA
