timeframe,group,segment,category,year,metric,value,state
full-year,all_sports,age,55-64,2014,churn,0.52297008868,FL
full-year,all_sports,age,55-64,2015,churn,0.5433132369,FL
full-year,all_sports,age,55-64,2016,churn,0.5279575469600001,FL
full-year,all_sports,age,55-64,2017,churn,0.5401301348399999,FL
full-year,all_sports,age,55-64,2018,churn,0.37971968406,FL
full-year,all_sports,all,all,2009,churn,0.46444181383999994,FL
full-year,all_sports,all,all,2010,churn,0.45973177747,FL
full-year,all_sports,all,all,2011,churn,0.44777374989,FL
full-year,all_sports,all,all,2012,churn,0.46378217524,FL
full-year,all_sports,all,all,2013,churn,0.45074937886,FL
full-year,all_sports,all,all,2014,churn,0.46227614354,FL
full-year,all_sports,all,all,2015,churn,0.46701990602000004,FL
full-year,all_sports,all,all,2016,churn,0.46683831336,FL
full-year,all_sports,all,all,2017,churn,0.47638258074,FL
full-year,all_sports,all,all,2018,churn,0.32953420403,FL
full-year,all_sports,gender,female,2009,churn,0.38041940253,FL
full-year,all_sports,gender,female,2010,churn,0.38761598999,FL
full-year,all_sports,gender,female,2011,churn,0.37383741547,FL
full-year,all_sports,gender,female,2012,churn,0.39188377517,FL
full-year,all_sports,gender,female,2013,churn,0.38247555564,FL
full-year,all_sports,gender,female,2014,churn,0.39495120985,FL
full-year,all_sports,gender,female,2015,churn,0.40273467730999996,FL
full-year,all_sports,gender,female,2016,churn,0.403164888,FL
full-year,all_sports,gender,female,2017,churn,0.41545491569,FL
full-year,all_sports,gender,female,2018,churn,0.2916706431,FL
full-year,all_sports,gender,male,2009,churn,0.488710057,FL
full-year,all_sports,gender,male,2010,churn,0.48010273357000005,FL
full-year,all_sports,gender,male,2011,churn,0.47022677658,FL
full-year,all_sports,gender,male,2012,churn,0.48569803514,FL
full-year,all_sports,gender,male,2013,churn,0.47171728014000003,FL
full-year,all_sports,gender,male,2014,churn,0.4832987577,FL
full-year,all_sports,gender,male,2015,churn,0.48699267925,FL
full-year,all_sports,gender,male,2016,churn,0.48672633793000003,FL
full-year,all_sports,gender,male,2017,churn,0.49519851415,FL
full-year,all_sports,gender,male,2018,churn,0.3412250788,FL
full-year,all_sports,residency,nonresident,2009,churn,0.40964213386,FL
full-year,all_sports,residency,nonresident,2010,churn,0.36580949295000004,FL
full-year,all_sports,residency,nonresident,2011,churn,0.35973035747,FL
full-year,all_sports,residency,nonresident,2012,churn,0.3612230101,FL
full-year,all_sports,residency,nonresident,2013,churn,0.33094739828999997,FL
full-year,all_sports,residency,nonresident,2014,churn,0.3416094191,FL
full-year,all_sports,residency,nonresident,2015,churn,0.32974841725,FL
full-year,all_sports,residency,nonresident,2016,churn,0.34184468624,FL
full-year,all_sports,residency,nonresident,2017,churn,0.3414662048,FL
full-year,all_sports,residency,nonresident,2018,churn,0.2437836884,FL
full-year,all_sports,residency,resident,2009,churn,0.47387808415000005,FL
full-year,all_sports,residency,resident,2010,churn,0.48890883899000004,FL
full-year,all_sports,residency,resident,2011,churn,0.47599123179,FL
full-year,all_sports,residency,resident,2012,churn,0.49878101671999997,FL
full-year,all_sports,residency,resident,2013,churn,0.49683662043,FL
full-year,all_sports,residency,resident,2014,churn,0.5053894193899999,FL
full-year,all_sports,residency,resident,2015,churn,0.51976756209,FL
full-year,all_sports,residency,resident,2016,churn,0.5184481453800001,FL
