state,year,sex,age,pop
Alabama,2010,1,22 to 24 years,94929.07628424001
Alabama,2010,1,25 to 29 years,153784.3927674678
Alabama,2010,1,30 to 34 years,144458.52619428
Alabama,2010,1,35 to 39 years,153568.10252573338
Alabama,2010,1,40 to 44 years,161940.46423042996
Alabama,2010,1,45 to 49 years,171622.7527512646
Alabama,2010,1,5 to 9 years,160148.20002075264
Alabama,2010,1,50 to 54 years,166115.98288776315
Alabama,2010,1,55 to 59 years,145809.07089618983
Alabama,2010,1,60 and 61 years,56332.945776803754
Alabama,2010,1,62 to 64 years,68207.5846821672
Alabama,2010,1,65 and 66 years,41927.8125878619
Alabama,2010,1,67 to 69 years,51461.845825629774
Alabama,2010,1,70 to 74 years,70467.97002536364
Alabama,2010,1,75 to 79 years,51093.23851225138
Alabama,2010,1,80 to 84 years,33607.23868752428
Alabama,2010,1,85 years and over,21668.62661207036
Alabama,2010,1,Under 5 years,156670.2935515488
Alabama,2010,2,10 to 14 years,156285.4390838617
Alabama,2010,2,15 to 17 years,98928.9225856105
Alabama,2010,2,18 and 19 years,71601.20903839474
Alabama,2010,2,20 years,36005.72484234457
Alabama,2010,2,21 years,35446.21346583908
Alabama,2010,2,22 to 24 years,95974.9868428619
Alabama,2010,2,25 to 29 years,158352.88946964245
Alabama,2010,2,30 to 34 years,149813.9944332818
Alabama,2010,2,35 to 39 years,160646.78456860056
Alabama,2010,2,40 to 44 years,166896.86174172454
Alabama,2010,2,45 to 49 years,181536.5632209981
Alabama,2010,2,5 to 9 years,155248.66754953846
Alabama,2010,2,50 to 54 years,176726.3900984817
Alabama,2010,2,55 to 59 years,160009.08376198448
Alabama,2010,2,60 and 61 years,58785.25063027158
Alabama,2010,2,62 to 64 years,76506.83419247468
Alabama,2010,2,65 and 66 years,45183.33613246556
Alabama,2010,2,67 to 69 years,61671.15141435256
Alabama,2010,2,70 to 74 years,87978.34058155377
Alabama,2010,2,75 to 79 years,71216.35457070766
Alabama,2010,2,80 to 84 years,55445.444972691585
Alabama,2010,2,85 years and over,53307.92873395462
Alabama,2010,2,Under 5 years,150663.9236930551
Alabama,2011,1,10 to 14 years,164856.10660855236
Alabama,2011,1,15 to 17 years,104606.65306574682
Alabama,2011,1,18 and 19 years,72853.48072596845
Alabama,2011,1,20 years,37984.93331372972
Alabama,2011,1,21 years,35528.61876925255
Alabama,2011,1,22 to 24 years,95509.19178990544
Alabama,2011,1,25 to 29 years,153901.7524034087
Alabama,2011,1,30 to 34 years,145359.2362653936
Alabama,2011,1,35 to 39 years,151479.8060459736
Alabama,2011,1,40 to 44 years,158137.12604182816
Alabama,2011,1,45 to 49 years,170527.86829952413
Alabama,2011,1,5 to 9 years,158999.3632049718
Alabama,2011,1,50 to 54 years,167876.4637521317
Alabama,2011,1,55 to 59 years,147649.77484884436
Alabama,2011,1,60 and 61 years,58345.05164906274
Alabama,2011,1,62 to 64 years,71580.8469763813
Alabama,2011,1,65 and 66 years,42139.44062969729
Alabama,2011,1,67 to 69 years,54718.19708709398
Alabama,2011,1,70 to 74 years,70818.68188727193
Alabama,2011,1,75 to 79 years,50572.787232402254
Alabama,2011,1,80 to 84 years,34482.41072253079
Alabama,2011,1,85 years and over,23123.7249051275
Alabama,2011,1,Under 5 years,156845.2865406587
Alabama,2011,2,10 to 14 years,157118.21037893393
Alabama,2011,2,15 to 17 years,97883.62918290004
Alabama,2011,2,18 and 19 years,70663.01421655198
Alabama,2011,2,20 years,35531.6512563445
Alabama,2011,2,21 years,36103.78048769185
Alabama,2011,2,22 to 24 years,98133.30395347036
Alabama,2011,2,25 to 29 years,158411.06070913406
Alabama,2011,2,30 to 34 years,151364.57153647958
Alabama,2011,2,35 to 39 years,159128.7493208949
Alabama,2011,2,40 to 44 years,163208.4552885944
Alabama,2011,2,45 to 49 years,178982.44231187273
Alabama,2011,2,5 to 9 years,154052.3659289754
Alabama,2011,2,50 to 54 years,178893.48935717563
Alabama,2011,2,55 to 59 years,160685.4260280944
Alabama,2011,2,60 and 61 years,62106.34647210783
Alabama,2011,2,62 to 64 years,80077.87580801715
Alabama,2011,2,65 and 66 years,47346.22096657051
Alabama,2011,2,67 to 69 years,63111.11052857298
Alabama,2011,2,70 to 74 years,87917.86576973113
Alabama,2011,2,75 to 79 years,71854.7816436872
Alabama,2011,2,80 to 84 years,55386.35507635299
Alabama,2011,2,85 years and over,52872.42327712882
Alabama,2011,2,Under 5 years,150104.06773526024
Alabama,2012,1,10 to 14 years,164328.85374286785
Alabama,2012,1,15 to 17 years,102290.23591691251
Alabama,2012,1,18 and 19 years,71771.90502134457
Alabama,2012,1,20 years,38049.12922166082
Alabama,2012,1,21 years,36606.67541298207
Alabama,2012,1,22 to 24 years,96673.63729919205
Alabama,2012,1,25 to 29 years,154032.0922784001
Alabama,2012,1,30 to 34 years,147458.897808523
Alabama,2012,1,35 to 39 years,147773.39507498546
Alabama,2012,1,40 to 44 years,157618.57072094304
Alabama,2012,1,45 to 49 years,167971.7804127246
Alabama,2012,1,5 to 9 years,158497.55026054324
Alabama,2012,1,50 to 54 years,168430.422259649
Alabama,2012,1,55 to 59 years,149773.27512838773
Alabama,2012,1,60 and 61 years,58887.59713697579
Alabama,2012,1,62 to 64 years,75460.19187386417
Alabama,2012,1,65 and 66 years,44217.10605974974
Alabama,2012,1,67 to 69 years,56615.5559875964
Alabama,2012,1,70 to 74 years,72369.65142843507
Alabama,2012,1,75 to 79 years,51121.93386509524
Alabama,2012,1,80 to 84 years,35087.61329580606
Alabama,2012,1,85 years and over,23884.656182140385
Alabama,2012,1,Under 5 years,157148.84082936772
Alabama,2012,2,10 to 14 years,156704.31103927176
Alabama,2012,2,15 to 17 years,96582.91693386635
Alabama,2012,2,18 and 19 years,69212.58271510045
Alabama,2012,2,20 years,36098.64136715811
Alabama,2012,2,21 years,37810.232259636454
Alabama,2012,2,22 to 24 years,98297.53183852222
Alabama,2012,2,25 to 29 years,158162.89291289728
Alabama,2012,2,30 to 34 years,153007.96015427876
Alabama,2012,2,35 to 39 years,157968.3481294766
Alabama,2012,2,40 to 44 years,160707.0951582538
Alabama,2012,2,45 to 49 years,176165.8454097543
