timeframe,group,category,year,metric,value,segment
Mid-year,all_sports,Female,2009,Participants,114033,Gender
Mid-year,all_sports,Female,2010,Participants,133405,Gender
Mid-year,all_sports,Female,2011,Participants,163928,Gender
Mid-year,all_sports,Female,2012,Participants,165728,Gender
Mid-year,all_sports,Female,2013,Participants,175477,Gender
Mid-year,all_sports,Female,2014,Participants,183186,Gender
Mid-year,all_sports,Female,2014,Recruits,78306,Gender
Mid-year,all_sports,Female,2015,Participants,200391,Gender
Mid-year,all_sports,Female,2015,Recruits,84762,Gender
Mid-year,all_sports,Female,2016,Participants,195645,Gender
Mid-year,all_sports,Female,2016,Recruits,79642,Gender
Mid-year,all_sports,Female,2017,Participants,198760,Gender
Mid-year,all_sports,Female,2017,Recruits,76802,Gender
Mid-year,all_sports,Male,2009,Participants,410216,Gender
Mid-year,all_sports,Male,2010,Participants,502093,Gender
Mid-year,all_sports,Male,2011,Participants,558730,Gender
Mid-year,all_sports,Male,2012,Participants,565180,Gender
Mid-year,all_sports,Male,2013,Participants,596823,Gender
Mid-year,all_sports,Male,2014,Participants,607583,Gender
Mid-year,all_sports,Male,2014,Recruits,203814,Gender
Mid-year,all_sports,Male,2015,Participants,671375,Gender
Mid-year,all_sports,Male,2015,Recruits,226291,Gender
Mid-year,all_sports,Male,2016,Participants,643877,Gender
Mid-year,all_sports,Male,2016,Recruits,206456,Gender
Mid-year,all_sports,Male,2017,Participants,657971,Gender
Mid-year,all_sports,Male,2017,Recruits,202873,Gender
Mid-year,all_sports,Nonresident,2009,Participants,76397,Residency
Mid-year,all_sports,Nonresident,2010,Participants,180257,Residency
Mid-year,all_sports,Nonresident,2011,Participants,200326,Residency
Mid-year,all_sports,Nonresident,2012,Participants,215066,Residency
Mid-year,all_sports,Nonresident,2013,Participants,252096,Residency
Mid-year,all_sports,Nonresident,2014,Participants,262294,Residency
Mid-year,all_sports,Nonresident,2014,Recruits,131580,Residency
Mid-year,all_sports,Nonresident,2015,Participants,266253,Residency
Mid-year,all_sports,Nonresident,2015,Recruits,129915,Residency
Mid-year,all_sports,Nonresident,2016,Participants,291483,Residency
Mid-year,all_sports,Nonresident,2016,Recruits,137918,Residency
Mid-year,all_sports,Nonresident,2017,Participants,300782,Residency
Mid-year,all_sports,Nonresident,2017,Recruits,137714,Residency
Mid-year,all_sports,Resident,2009,Participants,447852,Residency
Mid-year,all_sports,Resident,2010,Participants,455241,Residency
Mid-year,all_sports,Resident,2011,Participants,522332,Residency
Mid-year,all_sports,Resident,2012,Participants,515842,Residency
Mid-year,all_sports,Resident,2013,Participants,520204,Residency
Mid-year,all_sports,Resident,2014,Participants,528475,Residency
Mid-year,all_sports,Resident,2014,Recruits,150540,Residency
Mid-year,all_sports,Resident,2015,Participants,605513,Residency
Mid-year,all_sports,Resident,2015,Recruits,181138,Residency
Mid-year,all_sports,Resident,2016,Participants,548039,Residency
Mid-year,all_sports,Resident,2016,Recruits,148180,Residency
Mid-year,all_sports,Resident,2017,Participants,555949,Residency
Mid-year,all_sports,Resident,2017,Recruits,141961,Residency
Mid-year,fish,18-24,2009,Participants,52141.91100874303,Age
Mid-year,fish,18-24,2010,Participants,64889.94976551182,Age
Mid-year,fish,18-24,2011,Participants,79602.22605084477,Age
