timeframe,group,category,year,metric,value,segment
Mid-year,hunt,25-34,2010,participants,14381.026119296239,age
Mid-year,hunt,25-34,2011,participants,14328.493691147418,age
Mid-year,hunt,25-34,2012,participants,14396.782783340419,age
Mid-year,hunt,25-34,2013,participants,16518.06476317436,age
Mid-year,hunt,25-34,2014,participants,16669.215710036355,age
Mid-year,hunt,25-34,2015,participants,17643.553744192785,age
Mid-year,hunt,25-34,2016,participants,16949.54087994861,age
Mid-year,hunt,25-34,2017,participants,16713.67169710739,age
Mid-year,hunt,25-34,2018,participants,17079.084392615645,age
Mid-year,hunt,25-34,2019,participants,13633.10204203043,age
Mid-year,hunt,25-34,2014,recruits,5499.047751191162,age
Mid-year,hunt,25-34,2015,recruits,6060.550948796362,age
Mid-year,hunt,25-34,2016,recruits,5305.881909885676,age
Mid-year,hunt,25-34,2017,recruits,5151.64077083817,age
Mid-year,hunt,25-34,2018,recruits,5352.636218475555,age
Mid-year,hunt,25-34,2019,recruits,4719.718462258753,age
Mid-year,all_sports,35-44,2009,participants,119085.4481413753,age
Mid-year,all_sports,35-44,2010,participants,141088.88701765277,age
