"timeframe","group","segment","year","category","metric","value"
"mid-year","hunt","Age",2018,"18-24","participants",7792
"mid-year","hunt","Age",2009,"25-34","participants",14776
"mid-year","hunt","Age",2010,"25-34","participants",13685
"mid-year","hunt","Age",2011,"25-34","participants",13305
"mid-year","hunt","Age",2012,"25-34","participants",13321
"mid-year","hunt","Age",2013,"25-34","participants",14555
"mid-year","hunt","Age",2014,"25-34","participants",14367
"mid-year","hunt","Age",2015,"25-34","participants",14185
"mid-year","hunt","Age",2016,"25-34","participants",14758
"mid-year","hunt","Age",2017,"25-34","participants",14106
"mid-year","hunt","Age",2018,"25-34","participants",13911
"mid-year","hunt","Age",2009,"35-44","participants",19020
"mid-year","hunt","Age",2010,"35-44","participants",16924
"mid-year","hunt","Age",2011,"35-44","participants",15878
"mid-year","hunt","Age",2012,"35-44","participants",15695
"mid-year","hunt","Age",2013,"35-44","participants",16001
"mid-year","hunt","Age",2014,"35-44","participants",15270
"mid-year","hunt","Age",2015,"35-44","participants",14959
"mid-year","hunt","Age",2016,"35-44","participants",15462
"mid-year","hunt","Age",2017,"35-44","participants",15011
"mid-year","hunt","Age",2018,"35-44","participants",15028
"mid-year","hunt","Age",2009,"45-54","participants",23384
"mid-year","hunt","Age",2010,"45-54","participants",21579
"mid-year","hunt","Age",2011,"45-54","participants",20312
"mid-year","hunt","Age",2012,"45-54","participants",20026
"mid-year","hunt","Age",2013,"45-54","participants",20165
"mid-year","hunt","Age",2014,"45-54","participants",18568
"mid-year","hunt","Age",2015,"45-54","participants",18324
"mid-year","hunt","Age",2016,"45-54","participants",18457
"mid-year","hunt","Age",2017,"45-54","participants",17176
"mid-year","hunt","Age",2018,"45-54","participants",16184
"mid-year","hunt","Age",2009,"55-64","participants",16628
"mid-year","hunt","Age",2010,"55-64","participants",16471
"mid-year","hunt","Age",2011,"55-64","participants",16420
"mid-year","hunt","Age",2012,"55-64","participants",16834
"mid-year","hunt","Age",2013,"55-64","participants",17621
"mid-year","hunt","Age",2014,"55-64","participants",17185
"mid-year","hunt","Age",2015,"55-64","participants",17844
"mid-year","hunt","Age",2016,"55-64","participants",18972
"mid-year","hunt","Age",2017,"55-64","participants",18318
"mid-year","hunt","Age",2018,"55-64","participants",18107
"mid-year","hunt","All",2009,"All","residents",70518
"mid-year","hunt","All",2010,"All","residents",65254
"mid-year","hunt","All",2011,"All","residents",63316
"mid-year","hunt","All",2012,"All","residents",63405
"mid-year","hunt","All",2013,"All","residents",67177
"mid-year","hunt","All",2014,"All","residents",64849
"mid-year","hunt","All",2015,"All","residents",64087
"mid-year","hunt","All",2016,"All","residents",66597
"mid-year","hunt","All",2017,"All","residents",62817
"mid-year","hunt","All",2018,"All","residents",60904
"mid-year","hunt","Residency",2009,"Resident","residents",70518
"mid-year","hunt","Residency",2010,"Resident","residents",65254
"mid-year","hunt","Residency",2011,"Resident","residents",63316
"mid-year","hunt","Residency",2012,"Resident","residents",63405
"mid-year","hunt","Residency",2013,"Resident","residents",67177
"mid-year","hunt","Residency",2014,"Resident","residents",64849
"mid-year","hunt","Residency",2015,"Resident","residents",64087
"mid-year","hunt","Residency",2016,"Resident","residents",66597
