region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Midwest,IA,full-year,hunt,participants - recruited,residency,2015,resident,12559,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,residency,2016,resident,11964,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,residency,2017,resident,10938,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,residency,2018,resident,10269,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,residency,2014,nonresident,3218,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,residency,2015,nonresident,3558,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,residency,2016,nonresident,3544,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,residency,2017,nonresident,3687,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,residency,2018,nonresident,3644,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,gender,2014,male,13102,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,gender,2015,male,13222,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,gender,2016,male,12681,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,gender,2017,male,12106,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,gender,2018,male,11502,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,gender,2014,female,2870,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,gender,2015,female,2895,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,gender,2016,female,2827,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,gender,2017,female,2519,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,gender,2018,female,2411,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2014,18-24,3439,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2015,18-24,3282,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2016,18-24,3037,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2017,18-24,2909,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2018,18-24,2676,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2014,25-34,4272,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2015,25-34,4343,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2016,25-34,4168,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2017,25-34,3704,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2018,25-34,3551,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2014,35-44,3105,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2015,35-44,3018,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2016,35-44,2945,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2017,35-44,2896,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2018,35-44,2827,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2014,45-54,2958,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2015,45-54,3084,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2016,45-54,2909,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2017,45-54,2763,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2018,45-54,2613,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2014,55-64,2198,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2015,55-64,2390,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2016,55-64,2448,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2017,55-64,2353,NONE,total,NA
Midwest,IA,full-year,hunt,participants - recruited,age,2018,55-64,2245,NONE,total,NA
Midwest,IA,full-year,hunt,churn,all,2010,all,0.2073466442401058,NONE,total,NA
Midwest,IA,full-year,hunt,churn,all,2011,all,0.19713461665966808,NONE,total,NA
Midwest,IA,full-year,hunt,churn,all,2012,all,0.18277980559300896,NONE,total,NA
