region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Southeast,SC,full-year,hunt,participants - recruited,gender,2015,female,5694,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,gender,2016,female,5374,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,gender,2017,female,5828,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,gender,2018,female,5086,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2014,18-24,5100,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2015,18-24,4916,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2016,18-24,4745,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2017,18-24,4789,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2018,18-24,4343,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2014,25-34,6554,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2015,25-34,6405,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2016,25-34,6044,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2017,25-34,6046,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2018,25-34,5699,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2014,35-44,7050,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2015,35-44,6433,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2016,35-44,5965,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2017,35-44,5699,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2018,35-44,5459,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2014,45-54,6723,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2015,45-54,6543,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2016,45-54,6144,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2017,45-54,6140,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2018,45-54,5885,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2014,55-64,6406,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2015,55-64,6154,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2016,55-64,5943,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2017,55-64,5984,NONE,total,NA
Southeast,SC,full-year,hunt,participants - recruited,age,2018,55-64,5816,NONE,total,NA
Southeast,SC,full-year,hunt,churn,all,2010,all,0.23760847221014847,NONE,total,NA
Southeast,SC,full-year,hunt,churn,all,2011,all,0.24970032854667823,NONE,total,NA
Southeast,SC,full-year,hunt,churn,all,2012,all,0.267908092173237,NONE,total,NA
Southeast,SC,full-year,hunt,churn,all,2013,all,0.22693546265486375,NONE,total,NA
Southeast,SC,full-year,hunt,churn,all,2014,all,0.2509462742217954,NONE,total,NA
Southeast,SC,full-year,hunt,churn,all,2015,all,0.24952349105500757,NONE,total,NA
Southeast,SC,full-year,hunt,churn,all,2016,all,0.27013930367430306,NONE,total,NA
Southeast,SC,full-year,hunt,churn,all,2017,all,0.27219926114636966,NONE,total,NA
Southeast,SC,full-year,hunt,churn,all,2018,all,0.27458197179411004,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2010,resident,0.2073657265410603,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2011,resident,0.22361785859682443,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2012,resident,0.24249189277835673,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2013,resident,0.20006627409226216,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2014,resident,0.22597696809514817,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2015,resident,0.21901669260909248,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2016,resident,0.24190780391413813,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2017,resident,0.24415157984389257,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2018,resident,0.24980355578167834,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2010,nonresident,0.47491517756163765,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2011,nonresident,0.46977191536136303,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2012,nonresident,0.48663783291600277,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2013,nonresident,0.4604995986211456,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2014,nonresident,0.47016574585635357,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2015,nonresident,0.4963735070575462,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2016,nonresident,0.49796845646380355,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2017,nonresident,0.4985529528805282,NONE,total,NA
Southeast,SC,full-year,hunt,churn,residency,2018,nonresident,0.47642291398047526,NONE,total,NA
Southeast,SC,full-year,hunt,churn,gender,2010,male,0.2266396864098013,NONE,total,NA
Southeast,SC,full-year,hunt,churn,gender,2011,male,0.2388580088277528,NONE,total,NA
Southeast,SC,full-year,hunt,churn,gender,2012,male,0.25508608835232177,NONE,total,NA
Southeast,SC,full-year,hunt,churn,gender,2013,male,0.21577092226102698,NONE,total,NA
Southeast,SC,full-year,hunt,churn,gender,2014,male,0.23882119136028437,NONE,total,NA
Southeast,SC,full-year,hunt,churn,gender,2015,male,0.23959838504037415,NONE,total,NA
Southeast,SC,full-year,hunt,churn,gender,2016,male,0.25761309344466915,NONE,total,NA
Southeast,SC,full-year,hunt,churn,gender,2017,male,0.2606919991085357,NONE,total,NA
Southeast,SC,full-year,hunt,churn,gender,2018,male,0.26132252274696083,NONE,total,NA
Southeast,SC,full-year,hunt,churn,gender,2010,female,0.37067896983886517,NONE,total,NA
Southeast,SC,full-year,hunt,churn,gender,2011,female,0.36497754971135343,NONE,total,NA
Southeast,SC,full-year,hunt,churn,gender,2012,female,0.3897828863346105,NONE,total,NA
Southeast,SC,full-year,hunt,churn,gender,2013,female,0.33061349380386557,NONE,total,NA
Southeast,SC,full-year,hunt,churn,gender,2014,female,0.3591639414190246,NONE,total,NA
