region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Midwest,MO,full-year,hunt,participants - recruited,residency,2016,resident,28538,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,residency,2017,resident,28057,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,residency,2018,resident,26419,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,residency,2014,nonresident,15808,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,residency,2015,nonresident,16776,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,residency,2016,nonresident,16875,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,residency,2017,nonresident,17104,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,residency,2018,nonresident,17095,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,gender,2014,male,36628,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,gender,2015,male,36179,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,gender,2016,male,35193,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,gender,2017,male,35231,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,gender,2018,male,34525,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,gender,2014,female,11514,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,gender,2015,female,10918,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,gender,2016,female,10220,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,gender,2017,female,9930,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,gender,2018,female,8989,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,age,2014,18-24,8718,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,age,2015,18-24,8171,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,age,2016,18-24,7683,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,age,2017,18-24,7992,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,age,2018,18-24,7484,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,age,2014,25-34,12882,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,age,2015,25-34,12480,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,age,2016,25-34,12e3,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,age,2017,25-34,11968,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,age,2018,25-34,11653,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,age,2014,35-44,9869,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,age,2015,35-44,9845,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,age,2016,35-44,9116,NONE,total,NA
Midwest,MO,full-year,hunt,participants - recruited,age,2017,35-44,9161,NONE,total,NA
