timeframe,group,segment,year,category,metric,value
full-year,hunt,Age,2010,45-54,participants,46544
full-year,hunt,Age,2011,45-54,participants,45054
full-year,hunt,Age,2012,45-54,participants,44425
full-year,hunt,Age,2013,45-54,participants,42546
full-year,hunt,Age,2014,45-54,participants,41829
full-year,hunt,Age,2015,45-54,participants,41273
full-year,hunt,Age,2016,45-54,participants,39856
full-year,hunt,Age,2017,45-54,participants,38281
full-year,hunt,Age,2018,45-54,participants,36296
full-year,hunt,Age,2009,55-64,participants,32012
full-year,hunt,Age,2010,55-64,participants,32656
full-year,hunt,Age,2011,55-64,participants,33116
full-year,hunt,Age,2012,55-64,participants,34114
full-year,hunt,Age,2013,55-64,participants,34264
full-year,hunt,Age,2014,55-64,participants,35394
full-year,hunt,Age,2015,55-64,participants,36845
full-year,hunt,Age,2016,55-64,participants,37398
full-year,hunt,Age,2017,55-64,participants,37334
full-year,hunt,Age,2018,55-64,participants,37342
full-year,hunt,All,2014,All,recruits,15972
full-year,hunt,All,2015,All,recruits,16117
full-year,hunt,All,2016,All,recruits,15508
full-year,hunt,All,2017,All,recruits,14625
full-year,hunt,All,2018,All,recruits,13913
full-year,hunt,Residency,2014,Resident,recruits,12754
full-year,hunt,Residency,2015,Resident,recruits,12559
full-year,hunt,Residency,2016,Resident,recruits,11964
full-year,hunt,Residency,2017,Resident,recruits,10938
full-year,hunt,Residency,2018,Resident,recruits,10269
full-year,hunt,Residency,2014,Nonresident,recruits,3218
full-year,hunt,Residency,2015,Nonresident,recruits,3558
full-year,hunt,Residency,2016,Nonresident,recruits,3544
full-year,hunt,Residency,2017,Nonresident,recruits,3687
full-year,hunt,Residency,2018,Nonresident,recruits,3644
full-year,hunt,Gender,2014,Male,recruits,13102
full-year,hunt,Gender,2015,Male,recruits,13222
full-year,hunt,Gender,2016,Male,recruits,12681
full-year,hunt,Gender,2017,Male,recruits,12106
full-year,hunt,Gender,2018,Male,recruits,11502
full-year,hunt,Gender,2014,Female,recruits,2870
full-year,hunt,Gender,2015,Female,recruits,2895
full-year,hunt,Gender,2016,Female,recruits,2827
full-year,hunt,Gender,2017,Female,recruits,2519
full-year,hunt,Gender,2018,Female,recruits,2411
full-year,hunt,Age,2014,18-24,recruits,3439
full-year,hunt,Age,2015,18-24,recruits,3282
full-year,hunt,Age,2016,18-24,recruits,3037
full-year,hunt,Age,2017,18-24,recruits,2909
full-year,hunt,Age,2018,18-24,recruits,2676
