timeframe,group,segment,year,category,metric,value,state
full-year,hunt,All,2016,All,recruits,45413,MO
full-year,hunt,All,2017,All,recruits,45161,MO
full-year,hunt,All,2018,All,recruits,43514,MO
full-year,hunt,Residency,2014,Resident,recruits,32334,MO
full-year,hunt,Residency,2015,Resident,recruits,30321,MO
full-year,hunt,Residency,2016,Resident,recruits,28538,MO
full-year,hunt,Residency,2017,Resident,recruits,28057,MO
full-year,hunt,Residency,2018,Resident,recruits,26419,MO
full-year,hunt,Residency,2014,Nonresident,recruits,15808,MO
full-year,hunt,Residency,2015,Nonresident,recruits,16776,MO
full-year,hunt,Residency,2016,Nonresident,recruits,16875,MO
full-year,hunt,Residency,2017,Nonresident,recruits,17104,MO
full-year,hunt,Residency,2018,Nonresident,recruits,17095,MO
full-year,hunt,Gender,2014,Male,recruits,36628,MO
