timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,hunt,gender,male,2016,participants,202010,VA,Southeast,NONE,NA
full-year,hunt,gender,male,2017,participants,197209,VA,Southeast,NONE,NA
full-year,hunt,gender,male,2018,participants,192050,VA,Southeast,NONE,NA
full-year,hunt,gender,female,2009,participants,16848,VA,Southeast,NONE,NA
full-year,hunt,gender,female,2010,participants,16973,VA,Southeast,NONE,NA
full-year,hunt,gender,female,2011,participants,17213,VA,Southeast,NONE,NA
full-year,hunt,gender,female,2012,participants,19047,VA,Southeast,NONE,NA
full-year,hunt,gender,female,2013,participants,20348,VA,Southeast,NONE,NA
full-year,hunt,gender,female,2014,participants,21297,VA,Southeast,NONE,NA
full-year,hunt,gender,female,2015,participants,21500,VA,Southeast,NONE,NA
full-year,hunt,gender,female,2016,participants,21205,VA,Southeast,NONE,NA
full-year,hunt,gender,female,2017,participants,20374,VA,Southeast,NONE,NA
full-year,hunt,gender,female,2018,participants,19915,VA,Southeast,NONE,NA
full-year,hunt,age,18-24,2009,participants,31515,VA,Southeast,NONE,NA
full-year,hunt,age,18-24,2010,participants,31466,VA,Southeast,NONE,NA
full-year,hunt,age,18-24,2011,participants,30783,VA,Southeast,NONE,NA
full-year,hunt,age,18-24,2012,participants,31856,VA,Southeast,NONE,NA
full-year,hunt,age,18-24,2013,participants,33269,VA,Southeast,NONE,NA
full-year,hunt,age,18-24,2014,participants,33171,VA,Southeast,NONE,NA
full-year,hunt,age,18-24,2015,participants,32221,VA,Southeast,NONE,NA
full-year,hunt,age,18-24,2016,participants,30993,VA,Southeast,NONE,NA
full-year,hunt,age,18-24,2017,participants,29412,VA,Southeast,NONE,NA
full-year,hunt,age,18-24,2018,participants,28496,VA,Southeast,NONE,NA
full-year,hunt,age,25-34,2009,participants,46290,VA,Southeast,NONE,NA
full-year,hunt,age,25-34,2010,participants,44461,VA,Southeast,NONE,NA
full-year,hunt,age,25-34,2011,participants,43665,VA,Southeast,NONE,NA
full-year,hunt,age,25-34,2012,participants,44928,VA,Southeast,NONE,NA
full-year,hunt,age,25-34,2013,participants,46913,VA,Southeast,NONE,NA
full-year,hunt,age,25-34,2014,participants,46856,VA,Southeast,NONE,NA
full-year,hunt,age,25-34,2015,participants,46398,VA,Southeast,NONE,NA
full-year,hunt,age,25-34,2016,participants,45250,VA,Southeast,NONE,NA
full-year,hunt,age,25-34,2017,participants,43274,VA,Southeast,NONE,NA
full-year,hunt,age,25-34,2018,participants,42119,VA,Southeast,NONE,NA
full-year,hunt,age,35-44,2009,participants,59073,VA,Southeast,NONE,NA
full-year,hunt,age,35-44,2010,participants,55244,VA,Southeast,NONE,NA
full-year,hunt,age,35-44,2011,participants,52712,VA,Southeast,NONE,NA
full-year,hunt,age,35-44,2012,participants,51033,VA,Southeast,NONE,NA
full-year,hunt,age,35-44,2013,participants,51183,VA,Southeast,NONE,NA
full-year,hunt,age,35-44,2014,participants,48969,VA,Southeast,NONE,NA
full-year,hunt,age,35-44,2015,participants,46667,VA,Southeast,NONE,NA
full-year,hunt,age,35-44,2016,participants,44239,VA,Southeast,NONE,NA
full-year,hunt,age,35-44,2017,participants,42880,VA,Southeast,NONE,NA
full-year,hunt,age,35-44,2018,participants,41702,VA,Southeast,NONE,NA
full-year,hunt,age,45-54,2009,participants,63284,VA,Southeast,NONE,NA
full-year,hunt,age,45-54,2010,participants,61794,VA,Southeast,NONE,NA
full-year,hunt,age,45-54,2011,participants,60484,VA,Southeast,NONE,NA
full-year,hunt,age,45-54,2012,participants,59906,VA,Southeast,NONE,NA
full-year,hunt,age,45-54,2013,participants,60047,VA,Southeast,NONE,NA
full-year,hunt,age,45-54,2014,participants,58483,VA,Southeast,NONE,NA
full-year,hunt,age,45-54,2015,participants,56646,VA,Southeast,NONE,NA
full-year,hunt,age,45-54,2016,participants,54648,VA,Southeast,NONE,NA
full-year,hunt,age,45-54,2017,participants,53028,VA,Southeast,NONE,NA
full-year,hunt,age,45-54,2018,participants,50488,VA,Southeast,NONE,NA
full-year,hunt,age,55-64,2009,participants,45004,VA,Southeast,NONE,NA
full-year,hunt,age,55-64,2010,participants,45307,VA,Southeast,NONE,NA
full-year,hunt,age,55-64,2011,participants,45448,VA,Southeast,NONE,NA
full-year,hunt,age,55-64,2012,participants,46081,VA,Southeast,NONE,NA
full-year,hunt,age,55-64,2013,participants,46913,VA,Southeast,NONE,NA
full-year,hunt,age,55-64,2014,participants,47295,VA,Southeast,NONE,NA
full-year,hunt,age,55-64,2015,participants,48136,VA,Southeast,NONE,NA
full-year,hunt,age,55-64,2016,participants,48084,VA,Southeast,NONE,NA
full-year,hunt,age,55-64,2017,participants,48988,VA,Southeast,NONE,NA
full-year,hunt,age,55-64,2018,participants,49160,VA,Southeast,NONE,NA
