timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,hunt,age,18-24,2012,participants,24021,SC,Southeast,NONE,NA
full-year,hunt,age,18-24,2013,participants,25697,SC,Southeast,NONE,NA
full-year,hunt,age,18-24,2014,participants,25253,SC,Southeast,NONE,NA
full-year,hunt,age,18-24,2015,participants,25352,SC,Southeast,NONE,NA
full-year,hunt,age,18-24,2016,participants,24553,SC,Southeast,NONE,NA
full-year,hunt,age,18-24,2017,participants,24838,SC,Southeast,NONE,NA
full-year,hunt,age,18-24,2018,participants,24378,SC,Southeast,NONE,NA
full-year,hunt,age,25-34,2010,participants,36533,SC,Southeast,NONE,NA
full-year,hunt,age,25-34,2011,participants,36761,SC,Southeast,NONE,NA
full-year,hunt,age,25-34,2012,participants,35212,SC,Southeast,NONE,NA
full-year,hunt,age,25-34,2013,participants,36766,SC,Southeast,NONE,NA
full-year,hunt,age,25-34,2014,participants,36422,SC,Southeast,NONE,NA
full-year,hunt,age,25-34,2015,participants,36867,SC,Southeast,NONE,NA
full-year,hunt,age,25-34,2016,participants,35906,SC,Southeast,NONE,NA
full-year,hunt,age,25-34,2017,participants,35769,SC,Southeast,NONE,NA
full-year,hunt,age,25-34,2018,participants,35428,SC,Southeast,NONE,NA
full-year,hunt,age,35-44,2010,participants,49850,SC,Southeast,NONE,NA
full-year,hunt,age,35-44,2011,participants,49518,SC,Southeast,NONE,NA
full-year,hunt,age,35-44,2012,participants,47370,SC,Southeast,NONE,NA
full-year,hunt,age,35-44,2013,participants,48268,SC,Southeast,NONE,NA
full-year,hunt,age,35-44,2014,participants,46630,SC,Southeast,NONE,NA
full-year,hunt,age,35-44,2015,participants,44751,SC,Southeast,NONE,NA
full-year,hunt,age,35-44,2016,participants,41604,SC,Southeast,NONE,NA
full-year,hunt,age,35-44,2017,participants,40121,SC,Southeast,NONE,NA
full-year,hunt,age,35-44,2018,participants,38807,SC,Southeast,NONE,NA
full-year,hunt,age,45-54,2010,participants,50983,SC,Southeast,NONE,NA
full-year,hunt,age,45-54,2011,participants,52102,SC,Southeast,NONE,NA
full-year,hunt,age,45-54,2012,participants,51006,SC,Southeast,NONE,NA
full-year,hunt,age,45-54,2013,participants,52692,SC,Southeast,NONE,NA
full-year,hunt,age,45-54,2014,participants,52354,SC,Southeast,NONE,NA
full-year,hunt,age,45-54,2015,participants,52102,SC,Southeast,NONE,NA
full-year,hunt,age,45-54,2016,participants,50425,SC,Southeast,NONE,NA
full-year,hunt,age,45-54,2017,participants,50044,SC,Southeast,NONE,NA
full-year,hunt,age,45-54,2018,participants,48374,SC,Southeast,NONE,NA
full-year,hunt,age,55-64,2010,participants,45515,SC,Southeast,NONE,NA
full-year,hunt,age,55-64,2011,participants,48484,SC,Southeast,NONE,NA
full-year,hunt,age,55-64,2012,participants,47651,SC,Southeast,NONE,NA
full-year,hunt,age,55-64,2013,participants,48989,SC,Southeast,NONE,NA
full-year,hunt,age,55-64,2014,participants,48676,SC,Southeast,NONE,NA
full-year,hunt,age,55-64,2015,participants,48532,SC,Southeast,NONE,NA
full-year,hunt,age,55-64,2016,participants,48093,SC,Southeast,NONE,NA
full-year,hunt,age,55-64,2017,participants,47839,SC,Southeast,NONE,NA
full-year,hunt,age,55-64,2018,participants,47219,SC,Southeast,NONE,NA
full-year,hunt,all,all,2014,participants - recruited,31833,SC,Southeast,NONE,NA
full-year,hunt,all,all,2015,participants - recruited,30451,SC,Southeast,NONE,NA
full-year,hunt,all,all,2016,participants - recruited,28842,SC,Southeast,NONE,NA
full-year,hunt,all,all,2017,participants - recruited,28660,SC,Southeast,NONE,NA
full-year,hunt,all,all,2018,participants - recruited,27202,SC,Southeast,NONE,NA
full-year,hunt,residency,resident,2014,participants - recruited,23347,SC,Southeast,NONE,NA
full-year,hunt,residency,resident,2015,participants - recruited,21933,SC,Southeast,NONE,NA
full-year,hunt,residency,resident,2016,participants - recruited,20903,SC,Southeast,NONE,NA
full-year,hunt,residency,resident,2017,participants - recruited,20822,SC,Southeast,NONE,NA
full-year,hunt,residency,resident,2018,participants - recruited,19582,SC,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2014,participants - recruited,8486,SC,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2015,participants - recruited,8518,SC,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2016,participants - recruited,7939,SC,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2017,participants - recruited,7838,SC,Southeast,NONE,NA
full-year,hunt,residency,nonresident,2018,participants - recruited,7620,SC,Southeast,NONE,NA
full-year,hunt,gender,male,2014,participants - recruited,26108,SC,Southeast,NONE,NA
full-year,hunt,gender,male,2015,participants - recruited,24757,SC,Southeast,NONE,NA
full-year,hunt,gender,male,2016,participants - recruited,23468,SC,Southeast,NONE,NA
