timeframe,group,segment,category,year,metric,value,state,region,aggregation,states_included
full-year,all_sports,age,25-34,2018,participants - recruited,110618.04618513751,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2010,churn,0.61765734722,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2011,churn,0.61904805363,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2012,churn,0.62787812503,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2013,churn,0.6118992513,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2014,churn,0.62347694945,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2015,churn,0.6149073464100001,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2016,churn,0.62026140158,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2017,churn,0.6126383387900001,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2018,churn,0.6025021804099999,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2010,participants,224556.1942383187,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2011,participants,252444.08747644635,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2012,participants,258775.44149634973,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2013,participants,286746.71790930914,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2014,participants,301310.94622096384,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2015,participants,318737.677869066,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2016,participants,320904.4382653149,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2017,participants,316766.31032264896,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2018,participants,314023.30935498385,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2014,participants - recruited,119302.6172694798,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2015,participants - recruited,123801.42039515615,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2016,participants - recruited,121065.67442345779,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2017,participants - recruited,114409.28180065592,FL,Southeast,NONE,NA
full-year,fish,age,25-34,2018,participants - recruited,110147.207567901,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2010,churn,0.41361131896000003,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2011,churn,0.43081273988,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2012,churn,0.42843579397,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2013,churn,0.42017515406999995,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2014,churn,0.44096371484999997,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2015,churn,0.44179198352999993,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2016,churn,0.40701635836000005,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2017,churn,0.41197608152,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2018,churn,0.39665749341,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2010,participants,30621.980007732505,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2011,participants,30530.164183525558,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2012,participants,31928.55835069033,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2013,participants,35510.19689058581,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2014,participants,36294.16957257797,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2015,participants,37304.703675979785,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2016,participants,37772.61406184413,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2017,participants,36661.59390443581,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2018,participants,37781.38192476166,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2014,participants - recruited,11155.61315290123,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2015,participants - recruited,11410.350948968395,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2016,participants - recruited,10079.398581820686,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2017,participants - recruited,9599.24163802701,FL,Southeast,NONE,NA
full-year,hunt,age,25-34,2018,participants - recruited,9949.678983833719,FL,Southeast,NONE,NA
full-year,all_sports,age,35-44,2010,churn,0.53225222645,FL,Southeast,NONE,NA
full-year,all_sports,age,35-44,2011,churn,0.53740571243,FL,Southeast,NONE,NA
full-year,all_sports,age,35-44,2012,churn,0.54849881378,FL,Southeast,NONE,NA
full-year,all_sports,age,35-44,2013,churn,0.53574712096,FL,Southeast,NONE,NA
full-year,all_sports,age,35-44,2014,churn,0.5504855026,FL,Southeast,NONE,NA
full-year,all_sports,age,35-44,2015,churn,0.5435716618499999,FL,Southeast,NONE,NA
