region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Southeast,VA,4,fish,participants,gender,2014,male,383139,NONE,total
Southeast,VA,4,fish,participants,gender,2015,male,379690,NONE,total
Southeast,VA,4,fish,participants,gender,2016,male,366709,NONE,total
Southeast,VA,4,fish,participants,gender,2017,male,363043,NONE,total
Southeast,VA,4,fish,participants,gender,2018,male,343387,NONE,total
Southeast,VA,4,fish,participants,gender,2009,female,92477,NONE,total
Southeast,VA,4,fish,participants,gender,2010,female,91149,NONE,total
Southeast,VA,4,fish,participants,gender,2011,female,87115,NONE,total
Southeast,VA,4,fish,participants,gender,2012,female,88810,NONE,total
Southeast,VA,4,fish,participants,gender,2013,female,91428,NONE,total
Southeast,VA,4,fish,participants,gender,2014,female,96959,NONE,total
Southeast,VA,4,fish,participants,gender,2015,female,94961,NONE,total
Southeast,VA,4,fish,participants,gender,2016,female,92042,NONE,total
Southeast,VA,4,fish,participants,gender,2017,female,90022,NONE,total
Southeast,VA,4,fish,participants,gender,2018,female,83033,NONE,total
Southeast,VA,4,fish,participants,age,2009,18-24,64293,NONE,total
Southeast,VA,4,fish,participants,age,2010,18-24,63306,NONE,total
Southeast,VA,4,fish,participants,age,2011,18-24,61728,NONE,total
Southeast,VA,4,fish,participants,age,2012,18-24,63537,NONE,total
Southeast,VA,4,fish,participants,age,2013,18-24,66917,NONE,total
Southeast,VA,4,fish,participants,age,2014,18-24,68743,NONE,total
Southeast,VA,4,fish,participants,age,2015,18-24,67398,NONE,total
Southeast,VA,4,fish,participants,age,2016,18-24,64066,NONE,total
Southeast,VA,4,fish,participants,age,2017,18-24,60410,NONE,total
Southeast,VA,4,fish,participants,age,2018,18-24,55256,NONE,total
Southeast,VA,4,fish,participants,age,2009,25-34,101932,NONE,total
Southeast,VA,4,fish,participants,age,2010,25-34,99549,NONE,total
Southeast,VA,4,fish,participants,age,2011,25-34,95418,NONE,total
Southeast,VA,4,fish,participants,age,2012,25-34,96647,NONE,total
Southeast,VA,4,fish,participants,age,2013,25-34,99300,NONE,total
Southeast,VA,4,fish,participants,age,2014,25-34,102185,NONE,total
Southeast,VA,4,fish,participants,age,2015,25-34,101453,NONE,total
Southeast,VA,4,fish,participants,age,2016,25-34,98155,NONE,total
Southeast,VA,4,fish,participants,age,2017,25-34,94421,NONE,total
Southeast,VA,4,fish,participants,age,2018,25-34,87535,NONE,total
Southeast,VA,4,fish,participants,age,2009,35-44,120190,NONE,total
Southeast,VA,4,fish,participants,age,2010,35-44,113368,NONE,total
Southeast,VA,4,fish,participants,age,2011,35-44,106242,NONE,total
Southeast,VA,4,fish,participants,age,2012,35-44,103586,NONE,total
Southeast,VA,4,fish,participants,age,2013,35-44,102843,NONE,total
Southeast,VA,4,fish,participants,age,2014,35-44,103504,NONE,total
Southeast,VA,4,fish,participants,age,2015,35-44,100167,NONE,total
Southeast,VA,4,fish,participants,age,2016,35-44,95847,NONE,total
Southeast,VA,4,fish,participants,age,2017,35-44,95194,NONE,total
Southeast,VA,4,fish,participants,age,2018,35-44,89640,NONE,total
Southeast,VA,4,fish,participants,age,2009,45-54,125294,NONE,total
Southeast,VA,4,fish,participants,age,2010,45-54,121171,NONE,total
Southeast,VA,4,fish,participants,age,2011,45-54,115677,NONE,total
Southeast,VA,4,fish,participants,age,2012,45-54,115071,NONE,total
Southeast,VA,4,fish,participants,age,2013,45-54,113985,NONE,total
Southeast,VA,4,fish,participants,age,2014,45-54,114261,NONE,total
Southeast,VA,4,fish,participants,age,2015,45-54,111424,NONE,total
Southeast,VA,4,fish,participants,age,2016,45-54,106639,NONE,total
Southeast,VA,4,fish,participants,age,2017,45-54,106013,NONE,total
Southeast,VA,4,fish,participants,age,2018,45-54,98067,NONE,total
Southeast,VA,4,fish,participants,age,2009,55-64,83258,NONE,total
Southeast,VA,4,fish,participants,age,2010,55-64,84340,NONE,total
Southeast,VA,4,fish,participants,age,2011,55-64,83888,NONE,total
Southeast,VA,4,fish,participants,age,2012,55-64,86470,NONE,total
