region,state,quarter,group,metric,segment,year,category,value,aggregation,value_type
Midwest,WI,4,hunt,participants - recruited,residency,2014,nonresident,7888,NONE,total
Midwest,WI,4,hunt,participants - recruited,residency,2015,nonresident,8327,NONE,total
Midwest,WI,4,hunt,participants - recruited,gender,2014,male,22242,NONE,total
Midwest,WI,4,hunt,participants - recruited,gender,2015,male,22665,NONE,total
Midwest,WI,4,hunt,participants - recruited,gender,2014,female,8199,NONE,total
Midwest,WI,4,hunt,participants - recruited,gender,2015,female,8429,NONE,total
Midwest,WI,4,hunt,participants - recruited,age,2014,18-24,5726,NONE,total
Midwest,WI,4,hunt,participants - recruited,age,2015,18-24,5406,NONE,total
Midwest,WI,4,hunt,participants - recruited,age,2014,25-34,8589,NONE,total
Midwest,WI,4,hunt,participants - recruited,age,2015,25-34,8833,NONE,total
Midwest,WI,4,hunt,participants - recruited,age,2014,35-44,6151,NONE,total
Midwest,WI,4,hunt,participants - recruited,age,2015,35-44,6132,NONE,total
Midwest,WI,4,hunt,participants - recruited,age,2014,45-54,5985,NONE,total
Midwest,WI,4,hunt,participants - recruited,age,2015,45-54,6205,NONE,total
Midwest,WI,4,hunt,participants - recruited,age,2014,55-64,3989,NONE,total
Midwest,WI,4,hunt,participants - recruited,age,2015,55-64,4517,NONE,total
Midwest,WI,4,hunt,churn,all,2010,all,0.1430910601691188,NONE,total
Midwest,WI,4,hunt,churn,all,2011,all,0.13423856135573367,NONE,total
Midwest,WI,4,hunt,churn,all,2012,all,0.12813702093835025,NONE,total
Midwest,WI,4,hunt,churn,all,2013,all,0.1398819162452356,NONE,total
Midwest,WI,4,hunt,churn,all,2014,all,0.15437764885583768,NONE,total
Midwest,WI,4,hunt,churn,all,2015,all,0.1360548630740002,NONE,total
Midwest,WI,4,hunt,churn,residency,2010,resident,0.12789137785211654,NONE,total
Midwest,WI,4,hunt,churn,residency,2011,resident,0.12041160548163278,NONE,total
Midwest,WI,4,hunt,churn,residency,2012,resident,0.11397598561081144,NONE,total
Midwest,WI,4,hunt,churn,residency,2013,resident,0.1265326546126385,NONE,total
Midwest,WI,4,hunt,churn,residency,2014,resident,0.13873534533694076,NONE,total
Midwest,WI,4,hunt,churn,residency,2015,resident,0.12215112791157279,NONE,total
Midwest,WI,4,hunt,churn,residency,2010,nonresident,0.32426702751465947,NONE,total
Midwest,WI,4,hunt,churn,residency,2011,nonresident,0.30437780895536587,NONE,total
Midwest,WI,4,hunt,churn,residency,2012,nonresident,0.302421863782128,NONE,total
