timeframe,group,segment,year,category,metric,value,state
full-year,hunt,age,2012,55-64,participants,111702,WI
full-year,hunt,age,2013,55-64,participants,113858,WI
full-year,hunt,age,2014,55-64,participants,114128,WI
full-year,hunt,age,2015,55-64,participants,119503,WI
full-year,hunt,all,2014,all,recruits,30441,WI
full-year,hunt,all,2015,all,recruits,31094,WI
full-year,hunt,residency,2014,resident,recruits,22553,WI
full-year,hunt,residency,2015,resident,recruits,22767,WI
full-year,hunt,residency,2014,nonresident,recruits,7888,WI
full-year,hunt,residency,2015,nonresident,recruits,8327,WI
full-year,hunt,gender,2014,male,recruits,22242,WI
full-year,hunt,gender,2015,male,recruits,22665,WI
full-year,hunt,gender,2014,female,recruits,8199,WI
full-year,hunt,gender,2015,female,recruits,8429,WI
full-year,hunt,age,2014,18-24,recruits,5726,WI
full-year,hunt,age,2015,18-24,recruits,5406,WI
full-year,hunt,age,2014,25-34,recruits,8589,WI
full-year,hunt,age,2015,25-34,recruits,8833,WI
full-year,hunt,age,2014,35-44,recruits,6151,WI
full-year,hunt,age,2015,35-44,recruits,6132,WI
full-year,hunt,age,2014,45-54,recruits,5985,WI
full-year,hunt,age,2015,45-54,recruits,6205,WI
full-year,hunt,age,2014,55-64,recruits,3989,WI
full-year,hunt,age,2015,55-64,recruits,4517,WI
full-year,hunt,all,2010,all,churn,0.1430910601691188,WI
full-year,hunt,all,2011,all,churn,0.13423856135573367,WI
full-year,hunt,all,2012,all,churn,0.12813702093835025,WI
full-year,hunt,all,2013,all,churn,0.1398819162452356,WI
full-year,hunt,all,2014,all,churn,0.15437764885583768,WI
full-year,hunt,all,2015,all,churn,0.1360548630740002,WI
full-year,hunt,residency,2010,resident,churn,0.12789137785211654,WI
full-year,hunt,residency,2011,resident,churn,0.12041160548163278,WI
full-year,hunt,residency,2012,resident,churn,0.11397598561081144,WI
full-year,hunt,residency,2013,resident,churn,0.1265326546126385,WI
full-year,hunt,residency,2014,resident,churn,0.13873534533694076,WI
full-year,hunt,residency,2015,resident,churn,0.12215112791157279,WI
full-year,hunt,residency,2010,nonresident,churn,0.32426702751465947,WI
full-year,hunt,residency,2011,nonresident,churn,0.30437780895536587,WI
full-year,hunt,residency,2012,nonresident,churn,0.302421863782128,WI
full-year,hunt,residency,2013,nonresident,churn,0.3035946092662088,WI
full-year,hunt,residency,2014,nonresident,churn,0.3403503096404474,WI
full-year,hunt,residency,2015,nonresident,churn,0.30456667639334695,WI
full-year,hunt,gender,2010,male,churn,0.13211073851078436,WI
full-year,hunt,gender,2011,male,churn,0.12306038484466457,WI
full-year,hunt,gender,2012,male,churn,0.11725493446369152,WI
full-year,hunt,gender,2013,male,churn,0.1262702647421513,WI
full-year,hunt,gender,2014,male,churn,0.14088278088301937,WI
full-year,hunt,gender,2015,male,churn,0.12341143539613811,WI
full-year,hunt,gender,2010,female,churn,0.26274616154873165,WI
full-year,hunt,gender,2011,female,churn,0.2531444901024176,WI
full-year,hunt,gender,2012,female,churn,0.23973770758049454,WI
