timeframe,group,segment,year,category,metric,value,state
full-year,hunt,age,2018,45-54,participants,44036,OR
full-year,hunt,age,2009,55-64,participants,51301,OR
full-year,hunt,age,2010,55-64,participants,49528,OR
full-year,hunt,age,2011,55-64,participants,49885,OR
full-year,hunt,age,2012,55-64,participants,48974,OR
full-year,hunt,age,2013,55-64,participants,49041,OR
full-year,hunt,age,2014,55-64,participants,48547,OR
full-year,hunt,age,2015,55-64,participants,48281,OR
full-year,hunt,age,2016,55-64,participants,47959,OR
full-year,hunt,age,2017,55-64,participants,46680,OR
full-year,hunt,age,2018,55-64,participants,45501,OR
full-year,hunt,all,2014,all,recruits,23988,OR
full-year,hunt,all,2015,all,recruits,24539,OR
full-year,hunt,all,2016,all,recruits,24777,OR
full-year,hunt,all,2017,all,recruits,22426,OR
full-year,hunt,all,2018,all,recruits,21307,OR
full-year,hunt,residency,2014,resident,recruits,20300,OR
full-year,hunt,residency,2015,resident,recruits,20574,OR
full-year,hunt,residency,2016,resident,recruits,20812,OR
full-year,hunt,residency,2017,resident,recruits,18581,OR
full-year,hunt,residency,2018,resident,recruits,17559,OR
full-year,hunt,residency,2014,nonresident,recruits,3688,OR
full-year,hunt,residency,2015,nonresident,recruits,3965,OR
full-year,hunt,residency,2016,nonresident,recruits,3965,OR
full-year,hunt,residency,2017,nonresident,recruits,3845,OR
full-year,hunt,residency,2018,nonresident,recruits,3748,OR
full-year,hunt,gender,2014,male,recruits,17678,OR
full-year,hunt,gender,2015,male,recruits,18047,OR
full-year,hunt,gender,2016,male,recruits,18238,OR
full-year,hunt,gender,2017,male,recruits,16809,OR
full-year,hunt,gender,2018,male,recruits,16221,OR
full-year,hunt,gender,2014,female,recruits,6310,OR
full-year,hunt,gender,2015,female,recruits,6492,OR
