timeframe,group,segment,year,category,metric,value,state
full-year,hunt,age,2015,25-34,participants,62513,GA
full-year,hunt,age,2016,25-34,participants,64232,GA
full-year,hunt,age,2010,35-44,participants,70926,GA
full-year,hunt,age,2011,35-44,participants,70319,GA
full-year,hunt,age,2012,35-44,participants,69095,GA
full-year,hunt,age,2013,35-44,participants,69255,GA
full-year,hunt,age,2014,35-44,participants,68576,GA
full-year,hunt,age,2015,35-44,participants,68322,GA
full-year,hunt,age,2016,35-44,participants,67646,GA
full-year,hunt,age,2010,45-54,participants,71019,GA
full-year,hunt,age,2011,45-54,participants,72292,GA
full-year,hunt,age,2012,45-54,participants,71576,GA
full-year,hunt,age,2013,45-54,participants,72289,GA
full-year,hunt,age,2014,45-54,participants,73159,GA
full-year,hunt,age,2015,45-54,participants,74534,GA
full-year,hunt,age,2016,45-54,participants,75244,GA
full-year,hunt,age,2010,55-64,participants,48477,GA
full-year,hunt,age,2011,55-64,participants,50401,GA
full-year,hunt,age,2012,55-64,participants,50631,GA
full-year,hunt,age,2013,55-64,participants,54015,GA
full-year,hunt,age,2014,55-64,participants,56389,GA
full-year,hunt,age,2015,55-64,participants,59754,GA
full-year,hunt,age,2016,55-64,participants,61861,GA
full-year,hunt,all,2015,all,recruits,68677,GA
full-year,hunt,all,2016,all,recruits,68426,GA
full-year,hunt,residency,2015,resident,recruits,41105,GA
full-year,hunt,residency,2016,resident,recruits,40621,GA
full-year,hunt,residency,2015,nonresident,recruits,27572,GA
full-year,hunt,residency,2016,nonresident,recruits,27805,GA
full-year,hunt,gender,2015,male,recruits,55617,GA
full-year,hunt,gender,2016,male,recruits,55155,GA
full-year,hunt,gender,2015,female,recruits,13060,GA
full-year,hunt,gender,2016,female,recruits,13271,GA
full-year,hunt,age,2015,18-24,recruits,12227,GA
full-year,hunt,age,2016,18-24,recruits,12476,GA
full-year,hunt,age,2015,25-34,recruits,17354,GA
full-year,hunt,age,2016,25-34,recruits,17574,GA
full-year,hunt,age,2015,35-44,recruits,14765,GA
full-year,hunt,age,2016,35-44,recruits,14469,GA
full-year,hunt,age,2015,45-54,recruits,13663,GA
full-year,hunt,age,2016,45-54,recruits,13428,GA
full-year,hunt,age,2015,55-64,recruits,10667,GA
full-year,hunt,age,2016,55-64,recruits,10478,GA
full-year,hunt,all,2011,all,churn,0.38610891198074393,GA
full-year,hunt,all,2012,all,churn,0.3882085215138466,GA
full-year,hunt,all,2013,all,churn,0.3797781641753372,GA
full-year,hunt,all,2014,all,churn,0.37589252065147644,GA
full-year,hunt,all,2015,all,churn,0.36430185663388154,GA
full-year,hunt,all,2016,all,churn,0.3586029907710531,GA
full-year,hunt,residency,2011,resident,churn,0.32797274396271714,GA
full-year,hunt,residency,2012,resident,churn,0.3362465816838261,GA
full-year,hunt,residency,2013,resident,churn,0.32786584063234353,GA
full-year,hunt,residency,2014,resident,churn,0.32658584464759466,GA
full-year,hunt,residency,2015,resident,churn,0.3112856333157995,GA
full-year,hunt,residency,2016,resident,churn,0.30278961253819797,GA
full-year,hunt,residency,2011,nonresident,churn,0.6252518834528457,GA
full-year,hunt,residency,2012,nonresident,churn,0.6198784589512307,GA
full-year,hunt,residency,2013,nonresident,churn,0.6170565949302816,GA
full-year,hunt,residency,2014,nonresident,churn,0.6111535672995905,GA
full-year,hunt,residency,2015,nonresident,churn,0.6116903873963011,GA
full-year,hunt,residency,2016,nonresident,churn,0.6117587061052018,GA
full-year,hunt,gender,2011,male,churn,0.368884483286029,GA
full-year,hunt,gender,2012,male,churn,0.37104564207367946,GA
full-year,hunt,gender,2013,male,churn,0.36211669178482453,GA
full-year,hunt,gender,2014,male,churn,0.3581424055959751,GA
full-year,hunt,gender,2015,male,churn,0.3465426727549015,GA
full-year,hunt,gender,2016,male,churn,0.3395818894548282,GA
full-year,hunt,gender,2011,female,churn,0.5922734722547413,GA
full-year,hunt,gender,2012,female,churn,0.5867462899416195,GA
full-year,hunt,gender,2013,female,churn,0.5780206694169183,GA
full-year,hunt,gender,2014,female,churn,0.5647215581769017,GA
full-year,hunt,gender,2015,female,churn,0.5440587199940081,GA
full-year,hunt,gender,2016,female,churn,0.5355929877525816,GA
full-year,hunt,age,2011,18-24,churn,0.4796981885440827,GA
full-year,hunt,age,2012,18-24,churn,0.47904535153896904,GA
