timeframe,group,segment,year,category,metric,value,state
full-year,fish,age,2018,25-34,participants,138927,MO
full-year,fish,age,2009,35-44,participants,169773,MO
full-year,fish,age,2010,35-44,participants,158840,MO
full-year,fish,age,2011,35-44,participants,148127,MO
full-year,fish,age,2012,35-44,participants,155844,MO
full-year,fish,age,2013,35-44,participants,151313,MO
full-year,fish,age,2014,35-44,participants,153679,MO
full-year,fish,age,2015,35-44,participants,147181,MO
full-year,fish,age,2016,35-44,participants,150693,MO
full-year,fish,age,2017,35-44,participants,147034,MO
full-year,fish,age,2018,35-44,participants,143541,MO
full-year,fish,age,2009,45-54,participants,194967,MO
full-year,fish,age,2010,45-54,participants,185159,MO
full-year,fish,age,2011,45-54,participants,171993,MO
full-year,fish,age,2012,45-54,participants,176404,MO
full-year,fish,age,2013,45-54,participants,167877,MO
full-year,fish,age,2014,45-54,participants,166722,MO
full-year,fish,age,2015,45-54,participants,158018,MO
full-year,fish,age,2016,45-54,participants,157944,MO
full-year,fish,age,2017,45-54,participants,148439,MO
full-year,fish,age,2018,45-54,participants,139780,MO
full-year,fish,age,2009,55-64,participants,142137,MO
full-year,fish,age,2010,55-64,participants,141962,MO
full-year,fish,age,2011,55-64,participants,137967,MO
full-year,fish,age,2012,55-64,participants,146175,MO
full-year,fish,age,2013,55-64,participants,144789,MO
full-year,fish,age,2014,55-64,participants,150704,MO
full-year,fish,age,2015,55-64,participants,150367,MO
full-year,fish,age,2016,55-64,participants,156097,MO
full-year,fish,age,2017,55-64,participants,154157,MO
full-year,fish,age,2018,55-64,participants,153141,MO
full-year,fish,all,2014,all,recruits,170862,MO
full-year,fish,all,2015,all,recruits,161301,MO
full-year,fish,all,2016,all,recruits,173534,MO
full-year,fish,all,2017,all,recruits,161307,MO
full-year,fish,all,2018,all,recruits,146602,MO
full-year,fish,residency,2014,resident,recruits,97109,MO
full-year,fish,residency,2015,resident,recruits,89791,MO
full-year,fish,residency,2016,resident,recruits,99116,MO
full-year,fish,residency,2017,resident,recruits,91103,MO
full-year,fish,residency,2018,resident,recruits,81698,MO
full-year,fish,residency,2014,nonresident,recruits,73753,MO
full-year,fish,residency,2015,nonresident,recruits,71510,MO
full-year,fish,residency,2016,nonresident,recruits,74418,MO
full-year,fish,residency,2017,nonresident,recruits,70204,MO
full-year,fish,residency,2018,nonresident,recruits,64904,MO
full-year,fish,gender,2014,male,recruits,104695,MO
full-year,fish,gender,2015,male,recruits,100245,MO
full-year,fish,gender,2016,male,recruits,118638,MO
full-year,fish,gender,2017,male,recruits,111030,MO
full-year,fish,gender,2018,male,recruits,97701,MO
full-year,fish,gender,2014,female,recruits,66167,MO
full-year,fish,gender,2015,female,recruits,61056,MO
full-year,fish,gender,2016,female,recruits,54896,MO
full-year,fish,gender,2017,female,recruits,50277,MO
full-year,fish,gender,2018,female,recruits,48901,MO
full-year,fish,age,2014,18-24,recruits,36602,MO
full-year,fish,age,2015,18-24,recruits,33271,MO
full-year,fish,age,2016,18-24,recruits,34830,MO
full-year,fish,age,2017,18-24,recruits,31173,MO
full-year,fish,age,2018,18-24,recruits,27626,MO
full-year,fish,age,2014,25-34,recruits,42596,MO
full-year,fish,age,2015,25-34,recruits,40259,MO
full-year,fish,age,2016,25-34,recruits,42332,MO
full-year,fish,age,2017,25-34,recruits,38536,MO
full-year,fish,age,2018,25-34,recruits,34603,MO
full-year,fish,age,2014,35-44,recruits,34595,MO
full-year,fish,age,2015,35-44,recruits,32724,MO
full-year,fish,age,2016,35-44,recruits,35669,MO
full-year,fish,age,2017,35-44,recruits,34471,MO
full-year,fish,age,2018,35-44,recruits,32134,MO
full-year,fish,age,2014,45-54,recruits,31759,MO
full-year,fish,age,2015,45-54,recruits,30052,MO
full-year,fish,age,2016,45-54,recruits,32816,MO
full-year,fish,age,2017,45-54,recruits,30040,MO
full-year,fish,age,2018,45-54,recruits,26882,MO
full-year,fish,age,2014,55-64,recruits,25309,MO
full-year,fish,age,2015,55-64,recruits,24996,MO
full-year,fish,age,2016,55-64,recruits,27885,MO
full-year,fish,age,2017,55-64,recruits,27086,MO
full-year,fish,age,2018,55-64,recruits,25358,MO
