"timeframe","group","segment","year","category","metric","value"
"full-year","hunt","All",2010,"All","residents",217382
"full-year","hunt","All",2011,"All","residents",213447
"full-year","hunt","All",2012,"All","residents",214432
"full-year","hunt","All",2013,"All","residents",218779
"full-year","hunt","All",2014,"All","residents",214846
"full-year","hunt","All",2015,"All","residents",209987
"full-year","hunt","All",2016,"All","residents",203267
"full-year","hunt","All",2017,"All","residents",198005
"full-year","hunt","All",2018,"All","residents",192027
"full-year","hunt","Residency",2009,"Resident","residents",223336
"full-year","hunt","Residency",2010,"Resident","residents",217382
"full-year","hunt","Residency",2011,"Resident","residents",213447
"full-year","hunt","Residency",2012,"Resident","residents",214432
"full-year","hunt","Residency",2013,"Resident","residents",218779
"full-year","hunt","Residency",2014,"Resident","residents",214846
"full-year","hunt","Residency",2015,"Resident","residents",209987
"full-year","hunt","Residency",2016,"Resident","residents",203267
"full-year","hunt","Residency",2017,"Resident","residents",198005
"full-year","hunt","Residency",2018,"Resident","residents",192027
"full-year","hunt","Gender",2009,"Male","residents",207178
"full-year","hunt","Gender",2010,"Male","residents",201086
"full-year","hunt","Gender",2011,"Male","residents",196931
"full-year","hunt","Gender",2012,"Male","residents",196352
"full-year","hunt","Gender",2013,"Male","residents",199554
"full-year","hunt","Gender",2014,"Male","residents",194676
"full-year","hunt","Gender",2015,"Male","residents",189720
"full-year","hunt","Gender",2016,"Male","residents",183256
"full-year","hunt","Gender",2017,"Male","residents",178706
"full-year","hunt","Gender",2018,"Male","residents",173359
"full-year","hunt","Gender",2009,"Female","residents",16158
"full-year","hunt","Gender",2010,"Female","residents",16296
"full-year","hunt","Gender",2011,"Female","residents",16516
"full-year","hunt","Gender",2012,"Female","residents",18080
"full-year","hunt","Gender",2013,"Female","residents",19225
"full-year","hunt","Gender",2014,"Female","residents",20170
"full-year","hunt","Gender",2015,"Female","residents",20267
"full-year","hunt","Gender",2016,"Female","residents",20011
"full-year","hunt","Gender",2017,"Female","residents",19299
"full-year","hunt","Gender",2018,"Female","residents",18668
"full-year","hunt","Age",2009,"18-24","residents",30054
"full-year","hunt","Age",2010,"18-24","residents",30013
"full-year","hunt","Age",2011,"18-24","residents",29339
"full-year","hunt","Age",2012,"18-24","residents",30463
"full-year","hunt","Age",2013,"18-24","residents",31736
"full-year","hunt","Age",2014,"18-24","residents",31424
"full-year","hunt","Age",2015,"18-24","residents",30425
"full-year","hunt","Age",2016,"18-24","residents",29177
"full-year","hunt","Age",2017,"18-24","residents",27635
"full-year","hunt","Age",2018,"18-24","residents",26598
"full-year","hunt","Age",2009,"25-34","residents",42653
"full-year","hunt","Age",2010,"25-34","residents",41099
"full-year","hunt","Age",2011,"25-34","residents",40581
"full-year","hunt","Age",2012,"25-34","residents",41665
"full-year","hunt","Age",2013,"25-34","residents",43642
"full-year","hunt","Age",2014,"25-34","residents",43211
"full-year","hunt","Age",2015,"25-34","residents",42742
"full-year","hunt","Age",2016,"25-34","residents",41316
"full-year","hunt","Age",2017,"25-34","residents",39518
"full-year","hunt","Age",2018,"25-34","residents",38343
"full-year","hunt","Age",2009,"35-44","residents",53722
"full-year","hunt","Age",2010,"35-44","residents",50310
"full-year","hunt","Age",2011,"35-44","residents",48125
"full-year","hunt","Age",2012,"35-44","residents",46677
"full-year","hunt","Age",2013,"35-44","residents",46842
