"timeframe","group","segment","year","category","metric","value"
"full-year","hunt","Age",2010,"18-24","participants",23178
"full-year","hunt","Age",2011,"18-24","participants",24129
"full-year","hunt","Age",2012,"18-24","participants",24021
"full-year","hunt","Age",2013,"18-24","participants",25697
"full-year","hunt","Age",2014,"18-24","participants",25253
"full-year","hunt","Age",2015,"18-24","participants",25352
"full-year","hunt","Age",2016,"18-24","participants",24553
"full-year","hunt","Age",2017,"18-24","participants",24838
"full-year","hunt","Age",2018,"18-24","participants",24378
"full-year","hunt","Age",2009,"25-34","participants",35387
"full-year","hunt","Age",2010,"25-34","participants",36533
"full-year","hunt","Age",2011,"25-34","participants",36761
"full-year","hunt","Age",2012,"25-34","participants",35212
"full-year","hunt","Age",2013,"25-34","participants",36766
"full-year","hunt","Age",2014,"25-34","participants",36422
"full-year","hunt","Age",2015,"25-34","participants",36867
"full-year","hunt","Age",2016,"25-34","participants",35906
"full-year","hunt","Age",2017,"25-34","participants",35769
"full-year","hunt","Age",2018,"25-34","participants",35428
"full-year","hunt","Age",2009,"35-44","participants",48400
"full-year","hunt","Age",2010,"35-44","participants",49850
"full-year","hunt","Age",2011,"35-44","participants",49518
"full-year","hunt","Age",2012,"35-44","participants",47370
"full-year","hunt","Age",2013,"35-44","participants",48268
"full-year","hunt","Age",2014,"35-44","participants",46630
"full-year","hunt","Age",2015,"35-44","participants",44751
"full-year","hunt","Age",2016,"35-44","participants",41604
"full-year","hunt","Age",2017,"35-44","participants",40121
"full-year","hunt","Age",2018,"35-44","participants",38807
"full-year","hunt","Age",2009,"45-54","participants",48819
"full-year","hunt","Age",2010,"45-54","participants",50983
"full-year","hunt","Age",2011,"45-54","participants",52102
"full-year","hunt","Age",2012,"45-54","participants",51006
"full-year","hunt","Age",2013,"45-54","participants",52692
"full-year","hunt","Age",2014,"45-54","participants",52354
"full-year","hunt","Age",2015,"45-54","participants",52102
"full-year","hunt","Age",2016,"45-54","participants",50425
"full-year","hunt","Age",2017,"45-54","participants",50044
"full-year","hunt","Age",2018,"45-54","participants",48374
"full-year","hunt","Age",2009,"55-64","participants",41548
"full-year","hunt","Age",2010,"55-64","participants",45515
"full-year","hunt","Age",2011,"55-64","participants",48484
"full-year","hunt","Age",2012,"55-64","participants",47651
"full-year","hunt","Age",2013,"55-64","participants",48989
"full-year","hunt","Age",2014,"55-64","participants",48676
"full-year","hunt","Age",2015,"55-64","participants",48532
"full-year","hunt","Age",2016,"55-64","participants",48093
"full-year","hunt","Age",2017,"55-64","participants",47839
"full-year","hunt","Age",2018,"55-64","participants",47219
"full-year","hunt","All",2009,"All","residents",173452
"full-year","hunt","All",2010,"All","residents",184225
"full-year","hunt","All",2011,"All","residents",189029
"full-year","hunt","All",2012,"All","residents",184084
"full-year","hunt","All",2013,"All","residents",190692
"full-year","hunt","All",2014,"All","residents",186310
"full-year","hunt","All",2015,"All","residents",184715
"full-year","hunt","All",2016,"All","residents",178467
"full-year","hunt","All",2017,"All","residents",176895
"full-year","hunt","All",2018,"All","residents",172472
"full-year","hunt","Residency",2009,"Resident","residents",173452
"full-year","hunt","Residency",2010,"Resident","residents",184225
"full-year","hunt","Residency",2011,"Resident","residents",189029
"full-year","hunt","Residency",2012,"Resident","residents",184084
"full-year","hunt","Residency",2013,"Resident","residents",190692
"full-year","hunt","Residency",2014,"Resident","residents",186310
"full-year","hunt","Residency",2015,"Resident","residents",184715
"full-year","hunt","Residency",2016,"Resident","residents",178467
"full-year","hunt","Residency",2017,"Resident","residents",176895
"full-year","hunt","Residency",2018,"Resident","residents",172472
"full-year","hunt","Gender",2009,"Male","residents",159915
"full-year","hunt","Gender",2010,"Male","residents",168042
