"timeframe","group","segment","year","category","metric","value"
"full-year","hunt","All",2011,"All","churn",0.134238561355734
"full-year","hunt","All",2012,"All","churn",0.12813702093835
"full-year","hunt","All",2013,"All","churn",0.139881916245236
"full-year","hunt","All",2014,"All","churn",0.154377648855838
"full-year","hunt","All",2015,"All","churn",0.136054863074
"full-year","hunt","Residency",2010,"Resident","churn",0.127891377852117
"full-year","hunt","Residency",2011,"Resident","churn",0.120411605481633
"full-year","hunt","Residency",2012,"Resident","churn",0.113975985610811
"full-year","hunt","Residency",2013,"Resident","churn",0.126532654612638
"full-year","hunt","Residency",2014,"Resident","churn",0.138735345336941
"full-year","hunt","Residency",2015,"Resident","churn",0.122151127911573
"full-year","hunt","Residency",2010,"Nonresident","churn",0.324267027514659
"full-year","hunt","Residency",2011,"Nonresident","churn",0.304377808955366
"full-year","hunt","Residency",2012,"Nonresident","churn",0.302421863782128
"full-year","hunt","Residency",2013,"Nonresident","churn",0.303594609266209
"full-year","hunt","Residency",2014,"Nonresident","churn",0.340350309640447
"full-year","hunt","Residency",2015,"Nonresident","churn",0.304566676393347
"full-year","hunt","Gender",2010,"Male","churn",0.132110738510784
"full-year","hunt","Gender",2011,"Male","churn",0.123060384844665
"full-year","hunt","Gender",2012,"Male","churn",0.117254934463692
"full-year","hunt","Gender",2013,"Male","churn",0.126270264742151
"full-year","hunt","Gender",2014,"Male","churn",0.140882780883019
"full-year","hunt","Gender",2015,"Male","churn",0.123411435396138
"full-year","hunt","Gender",2010,"Female","churn",0.262746161548732
"full-year","hunt","Gender",2011,"Female","churn",0.253144490102418
"full-year","hunt","Gender",2012,"Female","churn",0.239737707580495
"full-year","hunt","Gender",2013,"Female","churn",0.268966678515969
"full-year","hunt","Gender",2014,"Female","churn",0.27820897708135
"full-year","hunt","Gender",2015,"Female","churn",0.247814317591543
"full-year","hunt","Age",2010,"18-24","churn",0.201269980859759
"full-year","hunt","Age",2011,"18-24","churn",0.195031684328239
"full-year","hunt","Age",2012,"18-24","churn",0.18855273474464
"full-year","hunt","Age",2013,"18-24","churn",0.196965465884762
"full-year","hunt","Age",2014,"18-24","churn",0.215256617471715
"full-year","hunt","Age",2015,"18-24","churn",0.200364525081811
"full-year","hunt","Age",2010,"25-34","churn",0.156608680469403
"full-year","hunt","Age",2011,"25-34","churn",0.15043993967599
"full-year","hunt","Age",2012,"25-34","churn",0.143517457056649
"full-year","hunt","Age",2013,"25-34","churn",0.158031757919419
"full-year","hunt","Age",2014,"25-34","churn",0.171251743683012
"full-year","hunt","Age",2015,"25-34","churn",0.155672990063234
"full-year","hunt","Age",2010,"35-44","churn",0.137875942047058
"full-year","hunt","Age",2011,"35-44","churn",0.128097766036106
"full-year","hunt","Age",2012,"35-44","churn",0.122567097350815
"full-year","hunt","Age",2013,"35-44","churn",0.132915692416288
"full-year","hunt","Age",2014,"35-44","churn",0.146037947437915
"full-year","hunt","Age",2015,"35-44","churn",0.12702416718629
"full-year","hunt","Age",2010,"45-54","churn",0.124837426241167
"full-year","hunt","Age",2011,"45-54","churn",0.113483783320364
"full-year","hunt","Age",2012,"45-54","churn",0.108141222848163
"full-year","hunt","Age",2013,"45-54","churn",0.121199154922044
"full-year","hunt","Age",2014,"45-54","churn",0.134890668436994
"full-year","hunt","Age",2015,"45-54","churn",0.115667101578878
"full-year","hunt","Age",2010,"55-64","churn",0.119117201473937
"full-year","hunt","Age",2011,"55-64","churn",0.11090895162217
"full-year","hunt","Age",2012,"55-64","churn",0.104891011465631
"full-year","hunt","Age",2013,"55-64","churn",0.115298878255342
"full-year","hunt","Age",2014,"55-64","churn",0.130066662567958
