"timeframe","group","segment","year","category","metric","value"
"full-year","hunt","Gender",2009,"Female","participants",54605
"full-year","hunt","Gender",2010,"Female","participants",55361
"full-year","hunt","Gender",2011,"Female","participants",56708
"full-year","hunt","Gender",2012,"Female","participants",59807
"full-year","hunt","Gender",2013,"Female","participants",61251
"full-year","hunt","Gender",2014,"Female","participants",63589
"full-year","hunt","Gender",2015,"Female","participants",64303
"full-year","hunt","Gender",2016,"Female","participants",63317
"full-year","hunt","Gender",2017,"Female","participants",62515
"full-year","hunt","Gender",2018,"Female","participants",60469
"full-year","hunt","Age",2009,"18-24","participants",60212
"full-year","hunt","Age",2010,"18-24","participants",59572
"full-year","hunt","Age",2011,"18-24","participants",59976
"full-year","hunt","Age",2012,"18-24","participants",61450
"full-year","hunt","Age",2013,"18-24","participants",62251
"full-year","hunt","Age",2014,"18-24","participants",62419
"full-year","hunt","Age",2015,"18-24","participants",61474
"full-year","hunt","Age",2016,"18-24","participants",59396
"full-year","hunt","Age",2017,"18-24","participants",58672
"full-year","hunt","Age",2018,"18-24","participants",57194
"full-year","hunt","Age",2009,"25-34","participants",89524
"full-year","hunt","Age",2010,"25-34","participants",88844
"full-year","hunt","Age",2011,"25-34","participants",89608
"full-year","hunt","Age",2012,"25-34","participants",91155
"full-year","hunt","Age",2013,"25-34","participants",93324
"full-year","hunt","Age",2014,"25-34","participants",94077
"full-year","hunt","Age",2015,"25-34","participants",93996
"full-year","hunt","Age",2016,"25-34","participants",91899
"full-year","hunt","Age",2017,"25-34","participants",90772
"full-year","hunt","Age",2018,"25-34","participants",88922
"full-year","hunt","Age",2009,"35-44","participants",100033
"full-year","hunt","Age",2010,"35-44","participants",95396
"full-year","hunt","Age",2011,"35-44","participants",92371
"full-year","hunt","Age",2012,"35-44","participants",93264
"full-year","hunt","Age",2013,"35-44","participants",93012
"full-year","hunt","Age",2014,"35-44","participants",92702
"full-year","hunt","Age",2015,"35-44","participants",91899
"full-year","hunt","Age",2016,"35-44","participants",89386
"full-year","hunt","Age",2017,"35-44","participants",88927
"full-year","hunt","Age",2018,"35-44","participants",88745
"full-year","hunt","Age",2009,"45-54","participants",119579
"full-year","hunt","Age",2010,"45-54","participants",118007
"full-year","hunt","Age",2011,"45-54","participants",115496
"full-year","hunt","Age",2012,"45-54","participants",113435
"full-year","hunt","Age",2013,"45-54","participants",110232
"full-year","hunt","Age",2014,"45-54","participants",107428
"full-year","hunt","Age",2015,"45-54","participants",104766
"full-year","hunt","Age",2016,"45-54","participants",100247
"full-year","hunt","Age",2017,"45-54","participants",96101
"full-year","hunt","Age",2018,"45-54","participants",91214
"full-year","hunt","Age",2009,"55-64","participants",82032
"full-year","hunt","Age",2010,"55-64","participants",83649
"full-year","hunt","Age",2011,"55-64","participants",85632
"full-year","hunt","Age",2012,"55-64","participants",88162
"full-year","hunt","Age",2013,"55-64","participants",90130
"full-year","hunt","Age",2014,"55-64","participants",92714
"full-year","hunt","Age",2015,"55-64","participants",94880
"full-year","hunt","Age",2016,"55-64","participants",96463
"full-year","hunt","Age",2017,"55-64","participants",97426
"full-year","hunt","Age",2018,"55-64","participants",97586
"full-year","hunt","All",2009,"All","residents",412305
"full-year","hunt","All",2010,"All","residents",407813
"full-year","hunt","All",2011,"All","residents",405571
"full-year","hunt","All",2012,"All","residents",408718
"full-year","hunt","All",2013,"All","residents",409277
"full-year","hunt","All",2014,"All","residents",407486
"full-year","hunt","All",2015,"All","residents",402842
"full-year","hunt","All",2016,"All","residents",392308
"full-year","hunt","All",2017,"All","residents",385583
"full-year","hunt","All",2018,"All","residents",376433
"full-year","hunt","Residency",2009,"Resident","residents",412305
"full-year","hunt","Residency",2010,"Resident","residents",407813
"full-year","hunt","Residency",2011,"Resident","residents",405571
"full-year","hunt","Residency",2012,"Resident","residents",408718
"full-year","hunt","Residency",2013,"Resident","residents",409277
"full-year","hunt","Residency",2014,"Resident","residents",407486
"full-year","hunt","Residency",2015,"Resident","residents",402842
"full-year","hunt","Residency",2016,"Resident","residents",392308
"full-year","hunt","Residency",2017,"Resident","residents",385583
"full-year","hunt","Residency",2018,"Resident","residents",376433
"full-year","hunt","Gender",2009,"Male","residents",358660
"full-year","hunt","Gender",2010,"Male","residents",353423
