timeframe,group,segment,year,category,metric,value
mid-year,hunt,Age,2010,35-44,participants,9380
mid-year,hunt,Age,2011,35-44,participants,9497
mid-year,hunt,Age,2012,35-44,participants,9205
mid-year,hunt,Age,2013,35-44,participants,9953
mid-year,hunt,Age,2014,35-44,participants,9871
mid-year,hunt,Age,2015,35-44,participants,10036
mid-year,hunt,Age,2016,35-44,participants,10040
mid-year,hunt,Age,2017,35-44,participants,10265
mid-year,hunt,Age,2009,45-54,participants,11025
mid-year,hunt,Age,2010,45-54,participants,11213
mid-year,hunt,Age,2011,45-54,participants,11429
mid-year,hunt,Age,2012,45-54,participants,11526
mid-year,hunt,Age,2013,45-54,participants,12374
mid-year,hunt,Age,2014,45-54,participants,12076
mid-year,hunt,Age,2015,45-54,participants,12510
mid-year,hunt,Age,2016,45-54,participants,12868
mid-year,hunt,Age,2017,45-54,participants,13138
mid-year,hunt,Age,2009,55-64,participants,8436
mid-year,hunt,Age,2010,55-64,participants,8588
mid-year,hunt,Age,2011,55-64,participants,8948
mid-year,hunt,Age,2012,55-64,participants,9223
mid-year,hunt,Age,2013,55-64,participants,9788
mid-year,hunt,Age,2014,55-64,participants,10028
mid-year,hunt,Age,2015,55-64,participants,11708
mid-year,hunt,Age,2016,55-64,participants,12322
mid-year,hunt,Age,2017,55-64,participants,12708
mid-year,hunt,All,2014,All,recruits,13457
mid-year,hunt,All,2015,All,recruits,14318
mid-year,hunt,All,2016,All,recruits,14083
mid-year,hunt,All,2017,All,recruits,13757
mid-year,hunt,Residency,2014,Resident,recruits,11111
mid-year,hunt,Residency,2015,Resident,recruits,11929
mid-year,hunt,Residency,2016,Resident,recruits,11556
mid-year,hunt,Residency,2017,Resident,recruits,11426
mid-year,hunt,Residency,2014,Nonresident,recruits,2346
mid-year,hunt,Residency,2015,Nonresident,recruits,2389
mid-year,hunt,Residency,2016,Nonresident,recruits,2527
mid-year,hunt,Residency,2017,Nonresident,recruits,2331
mid-year,hunt,Gender,2014,Male,recruits,11895
mid-year,hunt,Gender,2015,Male,recruits,12473
mid-year,hunt,Gender,2016,Male,recruits,12307
mid-year,hunt,Gender,2017,Male,recruits,11983
mid-year,hunt,Gender,2014,Female,recruits,1562
mid-year,hunt,Gender,2015,Female,recruits,1845
mid-year,hunt,Gender,2016,Female,recruits,1776
mid-year,hunt,Gender,2017,Female,recruits,1774
mid-year,hunt,Age,2014,18-24,recruits,1994
mid-year,hunt,Age,2015,18-24,recruits,1849
mid-year,hunt,Age,2016,18-24,recruits,1806
mid-year,hunt,Age,2017,18-24,recruits,1703
mid-year,hunt,Age,2014,25-34,recruits,3592
mid-year,hunt,Age,2015,25-34,recruits,3473
mid-year,hunt,Age,2016,25-34,recruits,3286
mid-year,hunt,Age,2017,25-34,recruits,3337
mid-year,hunt,Age,2014,35-44,recruits,3004
mid-year,hunt,Age,2015,35-44,recruits,2993
mid-year,hunt,Age,2016,35-44,recruits,2854
mid-year,hunt,Age,2017,35-44,recruits,2791
mid-year,hunt,Age,2014,45-54,recruits,2752
mid-year,hunt,Age,2015,45-54,recruits,2910
mid-year,hunt,Age,2016,45-54,recruits,2902
mid-year,hunt,Age,2017,45-54,recruits,2771
mid-year,hunt,Age,2014,55-64,recruits,2115
mid-year,hunt,Age,2015,55-64,recruits,3093
mid-year,hunt,Age,2016,55-64,recruits,3234
mid-year,hunt,Age,2017,55-64,recruits,3155
mid-year,fish,All,2009,All,participants,642531
mid-year,fish,All,2010,All,participants,646046
mid-year,fish,All,2011,All,participants,741386
mid-year,fish,All,2012,All,participants,756653
mid-year,fish,All,2013,All,participants,769081
mid-year,fish,All,2014,All,participants,785264
mid-year,fish,All,2015,All,participants,821734
mid-year,fish,All,2016,All,participants,820919
mid-year,fish,All,2017,All,participants,836274
mid-year,fish,Residency,2009,Resident,participants,421429
mid-year,fish,Residency,2010,Resident,participants,439818
mid-year,fish,Residency,2011,Resident,participants,516343
mid-year,fish,Residency,2012,Resident,participants,519843
