timeframe,group,segment,year,category,metric,value
full-year,hunt,Age,2010,18-24,churn,0.5101007126450321
full-year,hunt,Age,2011,18-24,churn,0.5335465150707644
full-year,hunt,Age,2012,18-24,churn,0.5266666666666666
full-year,hunt,Age,2013,18-24,churn,0.5112469719690852
full-year,hunt,Age,2014,18-24,churn,0.5111826226870475
full-year,hunt,Age,2015,18-24,churn,0.46582760868475154
full-year,hunt,Age,2016,18-24,churn,0.42541238956130945
full-year,hunt,Age,2010,25-34,churn,0.45969546077794615
full-year,hunt,Age,2011,25-34,churn,0.47361081313022957
full-year,hunt,Age,2012,25-34,churn,0.47141891651549106
full-year,hunt,Age,2013,25-34,churn,0.4616455567251859
full-year,hunt,Age,2014,25-34,churn,0.4730479526363101
full-year,hunt,Age,2015,25-34,churn,0.4766236128797526
full-year,hunt,Age,2016,25-34,churn,0.45760999357031323
full-year,hunt,Age,2010,35-44,churn,0.4035034980323568
full-year,hunt,Age,2011,35-44,churn,0.4061597959812796
full-year,hunt,Age,2012,35-44,churn,0.41375637002274496
full-year,hunt,Age,2013,35-44,churn,0.40223545205159633
full-year,hunt,Age,2014,35-44,churn,0.4146701068927387
full-year,hunt,Age,2015,35-44,churn,0.4127554718075083
full-year,hunt,Age,2016,35-44,churn,0.40482808628920175
full-year,hunt,Age,2010,45-54,churn,0.36207999590551987
full-year,hunt,Age,2011,45-54,churn,0.3582447283204569
full-year,hunt,Age,2012,45-54,churn,0.37126549991160945
full-year,hunt,Age,2013,45-54,churn,0.3550687980574666
full-year,hunt,Age,2014,45-54,churn,0.3650590479870553
full-year,hunt,Age,2015,45-54,churn,0.36284298498631756
full-year,hunt,Age,2016,45-54,churn,0.3547656210664116
full-year,hunt,Age,2010,55-64,churn,0.37519617367909724
full-year,hunt,Age,2011,55-64,churn,0.37810963528289426
full-year,hunt,Age,2012,55-64,churn,0.39041485803742976
full-year,hunt,Age,2013,55-64,churn,0.3714014552356849
full-year,hunt,Age,2014,55-64,churn,0.38550801081294916
full-year,hunt,Age,2015,55-64,churn,0.3826199740596628
full-year,hunt,Age,2016,55-64,churn,0.3893841284590145
full-year,fish,All,2009,All,participants,1204977
full-year,fish,All,2010,All,participants,1243336
full-year,fish,All,2011,All,participants,1360892
full-year,fish,All,2012,All,participants,1372083
full-year,fish,All,2013,All,participants,1431368
full-year,fish,All,2014,All,participants,1477389
full-year,fish,All,2015,All,participants,1537105
full-year,fish,All,2016,All,participants,1525850
full-year,fish,Residency,2009,Resident,participants,892452
full-year,fish,Residency,2010,Resident,participants,897479
full-year,fish,Residency,2011,Resident,participants,978241
full-year,fish,Residency,2012,Resident,participants,980753
full-year,fish,Residency,2013,Resident,participants,1031874
full-year,fish,Residency,2014,Resident,participants,1054695
full-year,fish,Residency,2015,Resident,participants,1086074
full-year,fish,Residency,2016,Resident,participants,1073422
full-year,fish,Residency,2009,Nonresident,participants,312525
full-year,fish,Residency,2010,Nonresident,participants,345857
full-year,fish,Residency,2011,Nonresident,participants,382651
full-year,fish,Residency,2012,Nonresident,participants,391330
full-year,fish,Residency,2013,Nonresident,participants,399494
full-year,fish,Residency,2014,Nonresident,participants,422694
full-year,fish,Residency,2015,Nonresident,participants,451031
full-year,fish,Residency,2016,Nonresident,participants,452428
full-year,fish,Gender,2009,Male,participants,934602
full-year,fish,Gender,2010,Male,participants,961294
full-year,fish,Gender,2011,Male,participants,1034850
full-year,fish,Gender,2012,Male,participants,1042164
full-year,fish,Gender,2013,Male,participants,1085907
full-year,fish,Gender,2014,Male,participants,1116443
full-year,fish,Gender,2015,Male,participants,1162792
full-year,fish,Gender,2016,Male,participants,1152827
full-year,fish,Gender,2009,Female,participants,270375
full-year,fish,Gender,2010,Female,participants,282042
full-year,fish,Gender,2011,Female,participants,326042
full-year,fish,Gender,2012,Female,participants,329919
full-year,fish,Gender,2013,Female,participants,345461
full-year,fish,Gender,2014,Female,participants,360946
full-year,fish,Gender,2015,Female,participants,374313
full-year,fish,Gender,2016,Female,participants,373023
full-year,fish,Age,2009,18-24,participants,131746
full-year,fish,Age,2010,18-24,participants,139647
full-year,fish,Age,2011,18-24,participants,160087
full-year,fish,Age,2012,18-24,participants,163520
full-year,fish,Age,2013,18-24,participants,173482
full-year,fish,Age,2014,18-24,participants,179592
full-year,fish,Age,2015,18-24,participants,182501
full-year,fish,Age,2016,18-24,participants,181060
full-year,fish,Age,2009,25-34,participants,220940
full-year,fish,Age,2010,25-34,participants,231862
full-year,fish,Age,2011,25-34,participants,259505
full-year,fish,Age,2012,25-34,participants,263262
full-year,fish,Age,2013,25-34,participants,278945
full-year,fish,Age,2014,25-34,participants,292594
full-year,fish,Age,2015,25-34,participants,306903
full-year,fish,Age,2016,25-34,participants,307404
full-year,fish,Age,2009,35-44,participants,272359
full-year,fish,Age,2010,35-44,participants,274563
full-year,fish,Age,2011,35-44,participants,294313
full-year,fish,Age,2012,35-44,participants,293804
full-year,fish,Age,2013,35-44,participants,299674
full-year,fish,Age,2014,35-44,participants,306049
full-year,fish,Age,2015,35-44,participants,314706
full-year,fish,Age,2016,35-44,participants,310604
full-year,fish,Age,2009,45-54,participants,325023
full-year,fish,Age,2010,45-54,participants,333924
full-year,fish,Age,2011,45-54,participants,359084
full-year,fish,Age,2012,45-54,participants,356998
full-year,fish,Age,2013,45-54,participants,367591
full-year,fish,Age,2014,45-54,participants,373422
full-year,fish,Age,2015,45-54,participants,385984
full-year,fish,Age,2016,45-54,participants,377436
full-year,fish,Age,2009,55-64,participants,254909
full-year,fish,Age,2010,55-64,participants,263341
full-year,fish,Age,2011,55-64,participants,287904
full-year,fish,Age,2012,55-64,participants,294499
full-year,fish,Age,2013,55-64,participants,311676
full-year,fish,Age,2014,55-64,participants,325733
full-year,fish,Age,2015,55-64,participants,347012
full-year,fish,Age,2016,55-64,participants,349345
full-year,fish,All,2014,All,recruits,504464
full-year,fish,All,2015,All,recruits,515003
full-year,fish,All,2016,All,recruits,500055
full-year,fish,Residency,2014,Resident,recruits,275215
full-year,fish,Residency,2015,Resident,recruits,274030
full-year,fish,Residency,2016,Resident,recruits,263322
full-year,fish,Residency,2014,Nonresident,recruits,229249
full-year,fish,Residency,2015,Nonresident,recruits,240973
full-year,fish,Residency,2016,Nonresident,recruits,236733
full-year,fish,Gender,2014,Male,recruits,357121
full-year,fish,Gender,2015,Male,recruits,366449
full-year,fish,Gender,2016,Male,recruits,355295
full-year,fish,Gender,2014,Female,recruits,147343
full-year,fish,Gender,2015,Female,recruits,148554
full-year,fish,Gender,2016,Female,recruits,144760
full-year,fish,Age,2014,18-24,recruits,89633
full-year,fish,Age,2015,18-24,recruits,87992
full-year,fish,Age,2016,18-24,recruits,85690
full-year,fish,Age,2014,25-34,recruits,115207
full-year,fish,Age,2015,25-34,recruits,119389
full-year,fish,Age,2016,25-34,recruits,117498
full-year,fish,Age,2014,35-44,recruits,103931
full-year,fish,Age,2015,35-44,recruits,105913
full-year,fish,Age,2016,35-44,recruits,102502
full-year,fish,Age,2014,45-54,recruits,109143
full-year,fish,Age,2015,45-54,recruits,111378
full-year,fish,Age,2016,45-54,recruits,106198
