timeframe,group,segment,category,year,metric,value
full-year,all_sports,age,45-54,2015,Recruits,117883
full-year,all_sports,age,45-54,2016,Recruits,107806
full-year,all_sports,age,45-54,2017,Recruits,103855
full-year,all_sports,age,45-54,2018,Recruits,99354
full-year,all_sports,age,55-64,2014,Recruits,87441
full-year,all_sports,age,55-64,2015,Recruits,104934
full-year,all_sports,age,55-64,2016,Recruits,90274
full-year,all_sports,age,55-64,2017,Recruits,87628
full-year,all_sports,age,55-64,2018,Recruits,86225
full-year,all_sports,All,All,2014,Recruits,522148
full-year,all_sports,All,All,2015,Recruits,553313
full-year,all_sports,All,All,2016,Recruits,516265
full-year,all_sports,All,All,2017,Recruits,494744
full-year,all_sports,All,All,2018,Recruits,476234
full-year,all_sports,gender,Female,2014,Recruits,150404
full-year,all_sports,gender,Female,2015,Recruits,156979
full-year,all_sports,gender,Female,2016,Recruits,148025
full-year,all_sports,gender,Female,2017,Recruits,139463
full-year,all_sports,gender,Female,2018,Recruits,135009
full-year,all_sports,gender,Male,2014,Recruits,371744
full-year,all_sports,gender,Male,2015,Recruits,396334
full-year,all_sports,gender,Male,2016,Recruits,368240
full-year,all_sports,gender,Male,2017,Recruits,355281
full-year,all_sports,gender,Male,2018,Recruits,341225
full-year,all_sports,Residency,Nonresident,2014,Recruits,215532
full-year,all_sports,Residency,Nonresident,2015,Recruits,235573
full-year,all_sports,Residency,Nonresident,2016,Recruits,239695
full-year,all_sports,Residency,Nonresident,2017,Recruits,238437
full-year,all_sports,Residency,Nonresident,2018,Recruits,234390
full-year,all_sports,Residency,Resident,2014,Recruits,306616
full-year,all_sports,Residency,Resident,2015,Recruits,317740
full-year,all_sports,Residency,Resident,2016,Recruits,276570
full-year,all_sports,Residency,Resident,2017,Recruits,256307
full-year,all_sports,Residency,Resident,2018,Recruits,241844
full-year,fish,age,18-24,2009,churn,0.33676060028000004
full-year,fish,age,18-24,2010,churn,0.33413118202
full-year,fish,age,18-24,2011,churn,0.32611877229
full-year,fish,age,18-24,2012,churn,0.34081764043
full-year,fish,age,18-24,2013,churn,0.32742172725
full-year,fish,age,18-24,2014,churn,0.33703999115
full-year,fish,age,18-24,2015,churn,0.33637406112
full-year,fish,age,18-24,2016,churn,0.34843223813999996
full-year,fish,age,18-24,2017,churn,0.35325225061
full-year,fish,age,18-24,2018,churn,0.23619545348999998
full-year,fish,age,25-34,2009,churn,0.38234265278
full-year,fish,age,25-34,2010,churn,0.38095194636999996
full-year,fish,age,25-34,2011,churn,0.37212187497000004
full-year,fish,age,25-34,2012,churn,0.3881007487
full-year,fish,age,25-34,2013,churn,0.37652305055
full-year,fish,age,25-34,2014,churn,0.38509265358999994
full-year,fish,age,25-34,2015,churn,0.37973859842
full-year,fish,age,25-34,2016,churn,0.38736166121
full-year,fish,age,25-34,2017,churn,0.39749781959
full-year,fish,age,25-34,2018,churn,0.26614897632
full-year,fish,age,35-44,2009,churn,0.44069491157
full-year,fish,age,35-44,2010,churn,0.43924646543999996
full-year,fish,age,35-44,2011,churn,0.43148578688
full-year,fish,age,35-44,2012,churn,0.44644918506000003
full-year,fish,age,35-44,2013,churn,0.43325171661
full-year,fish,age,35-44,2014,churn,0.44238934963
full-year,fish,age,35-44,2015,churn,0.44042532454000005
full-year,fish,age,35-44,2016,churn,0.44627849326
full-year,fish,age,35-44,2017,churn,0.45797391539000004
full-year,fish,age,35-44,2018,churn,0.31525463079
full-year,fish,age,45-54,2009,churn,0.48500842302
full-year,fish,age,45-54,2010,churn,0.4815327865
full-year,fish,age,45-54,2011,churn,0.47124259191
full-year,fish,age,45-54,2012,churn,0.49008622183999995
full-year,fish,age,45-54,2013,churn,0.47838400216
full-year,fish,age,45-54,2014,churn,0.49189308499
full-year,fish,age,45-54,2015,churn,0.49542951087
full-year,fish,age,45-54,2016,churn,0.49598536333
full-year,fish,age,45-54,2017,churn,0.50627473619
full-year,fish,age,45-54,2018,churn,0.35338621402000003
full-year,fish,age,55-64,2009,churn,0.49915565443
full-year,fish,age,55-64,2010,churn,0.49728611128
full-year,fish,age,55-64,2011,churn,0.48616014178
full-year,fish,age,55-64,2012,churn,0.5055661839
full-year,fish,age,55-64,2013,churn,0.4964352
full-year,fish,age,55-64,2014,churn,0.51676150458
full-year,fish,age,55-64,2015,churn,0.5384764332900001
