timeframe,group,segment,year,category,metric,value,state
full-year,hunt,Residency,2013,Resident,churn,0.258770222938789,VA
full-year,hunt,Residency,2014,Resident,churn,0.27393296906439224,VA
full-year,hunt,Residency,2015,Resident,churn,0.2764498332940266,VA
full-year,hunt,Residency,2016,Resident,churn,0.28778179925720937,VA
full-year,hunt,Residency,2017,Resident,churn,0.27036416317715645,VA
full-year,hunt,Residency,2018,Resident,churn,0.25665651910066145,VA
full-year,hunt,Residency,2010,Nonresident,churn,0.5029580012712072,VA
full-year,hunt,Residency,2011,Nonresident,churn,0.5098956459157971,VA
full-year,hunt,Residency,2012,Nonresident,churn,0.5071071840184402,VA
full-year,hunt,Residency,2013,Nonresident,churn,0.5139468849173209,VA
full-year,hunt,Residency,2014,Nonresident,churn,0.5142369334141103,VA
full-year,hunt,Residency,2015,Nonresident,churn,0.5196480621828782,VA
full-year,hunt,Residency,2016,Nonresident,churn,0.5390044377907287,VA
full-year,hunt,Residency,2017,Nonresident,churn,0.5230852211434736,VA
full-year,hunt,Residency,2018,Nonresident,churn,0.5027484608619173,VA
full-year,hunt,Gender,2010,Male,churn,0.270457930901927,VA
full-year,hunt,Gender,2011,Male,churn,0.2679502170078678,VA
full-year,hunt,Gender,2012,Male,churn,0.26644396157829564,VA
full-year,hunt,Gender,2013,Male,churn,0.2644076935990109,VA
full-year,hunt,Gender,2014,Male,churn,0.27763677242068446,VA
full-year,hunt,Gender,2015,Male,churn,0.2805757956342445,VA
full-year,hunt,Gender,2016,Male,churn,0.29185793795289183,VA
full-year,hunt,Gender,2017,Male,churn,0.27828446240198723,VA
full-year,hunt,Gender,2018,Male,churn,0.26707613759095805,VA
full-year,hunt,Gender,2010,Female,churn,0.5366933645894381,VA
full-year,hunt,Gender,2011,Female,churn,0.54186046511627906,VA
full-year,hunt,Gender,2012,Female,churn,0.5415472779369628,VA
full-year,hunt,Gender,2013,Female,churn,0.546372239747634,VA
full-year,hunt,Gender,2014,Female,churn,0.5561442945836009,VA
full-year,hunt,Gender,2015,Female,churn,0.5535677879714577,VA
full-year,hunt,Gender,2016,Female,churn,0.5680571629849545,VA
full-year,hunt,Gender,2017,Female,churn,0.5515665464886,VA
full-year,hunt,Gender,2018,Female,churn,0.5158394931362197,VA
full-year,hunt,Age,2010,18-24,churn,0.37829478676243167,VA
full-year,hunt,Age,2011,18-24,churn,0.386637308195142,VA
full-year,hunt,Age,2012,18-24,churn,0.38444233540721995,VA
full-year,hunt,Age,2013,18-24,churn,0.3854022015241321,VA
full-year,hunt,Age,2014,18-24,churn,0.40047868555533994,VA
full-year,hunt,Age,2015,18-24,churn,0.40706590313500923,VA
full-year,hunt,Age,2016,18-24,churn,0.41905172986254063,VA
full-year,hunt,Age,2017,18-24,churn,0.40428679556870567,VA
full-year,hunt,Age,2018,18-24,churn,0.38104546770923836,VA
full-year,hunt,Age,2010,25-34,churn,0.3415689852834514,VA
full-year,hunt,Age,2011,25-34,churn,0.3430971512052593,VA
full-year,hunt,Age,2012,25-34,churn,0.3423700252763047,VA
full-year,hunt,Age,2013,25-34,churn,0.35048030739673386,VA
full-year,hunt,Age,2014,25-34,churn,0.36825083719436663,VA
