timeframe,group,segment,year,category,metric,value
full-year,hunt,Age,2010,45-54,participants,118004
full-year,hunt,Age,2011,45-54,participants,115487
full-year,hunt,Age,2012,45-54,participants,113420
full-year,hunt,Age,2013,45-54,participants,110216
full-year,hunt,Age,2014,45-54,participants,107398
full-year,hunt,Age,2015,45-54,participants,104732
full-year,hunt,Age,2016,45-54,participants,100200
full-year,hunt,Age,2017,45-54,participants,96056
full-year,hunt,Age,2018,45-54,participants,91158
full-year,hunt,Age,2008,55-64,participants,78970
full-year,hunt,Age,2009,55-64,participants,82032
full-year,hunt,Age,2010,55-64,participants,83379
full-year,hunt,Age,2011,55-64,participants,85158
full-year,hunt,Age,2012,55-64,participants,87592
full-year,hunt,Age,2013,55-64,participants,89467
full-year,hunt,Age,2014,55-64,participants,92020
full-year,hunt,Age,2015,55-64,participants,94136
full-year,hunt,Age,2016,55-64,participants,95727
full-year,hunt,Age,2017,55-64,participants,96671
full-year,hunt,Age,2018,55-64,participants,96775
full-year,hunt,All,2013,All,recruits,47972
full-year,hunt,All,2014,All,recruits,48143
full-year,hunt,All,2015,All,recruits,47098
full-year,hunt,All,2016,All,recruits,45417
full-year,hunt,All,2017,All,recruits,45167
full-year,hunt,All,2018,All,recruits,43524
full-year,hunt,Residency,2013,Resident,recruits,33217
full-year,hunt,Residency,2014,Resident,recruits,32335
full-year,hunt,Residency,2015,Resident,recruits,30322
full-year,hunt,Residency,2016,Resident,recruits,28542
full-year,hunt,Residency,2017,Resident,recruits,28061
full-year,hunt,Residency,2018,Resident,recruits,26425
full-year,hunt,Residency,2013,Nonresident,recruits,14755
full-year,hunt,Residency,2014,Nonresident,recruits,15808
full-year,hunt,Residency,2015,Nonresident,recruits,16776
full-year,hunt,Residency,2016,Nonresident,recruits,16875
full-year,hunt,Residency,2017,Nonresident,recruits,17106
full-year,hunt,Residency,2018,Nonresident,recruits,17099
full-year,hunt,Gender,2013,Male,recruits,36869
full-year,hunt,Gender,2014,Male,recruits,36629
full-year,hunt,Gender,2015,Male,recruits,36179
full-year,hunt,Gender,2016,Male,recruits,35197
full-year,hunt,Gender,2017,Male,recruits,35235
full-year,hunt,Gender,2018,Male,recruits,34535
full-year,hunt,Gender,2013,Female,recruits,11103
full-year,hunt,Gender,2014,Female,recruits,11514
full-year,hunt,Gender,2015,Female,recruits,10919
full-year,hunt,Gender,2016,Female,recruits,10220
full-year,hunt,Gender,2017,Female,recruits,9932
