"","region","state","quarter","group","metric","segment","year","category","value","aggregation","value_type"
"14405","Southeast","Southeast",4,"fish","churn","Residency",2010,"Resident",0.110074788137297,"AVG","pct_change_yr"
"14406","Southeast","Southeast",4,"hunt","churn","Residency",2010,"Resident",-0.861140652831365,"AVG","pct_change_yr"
"14407","Southeast","Southeast",4,"all_sports","churn","Residency",2011,"Resident",0.39616362931651,"AVG","pct_change_yr"
"14408","Southeast","Southeast",4,"fish","churn","Residency",2011,"Resident",0.107679205656186,"AVG","pct_change_yr"
"14409","Southeast","Southeast",4,"hunt","churn","Residency",2011,"Resident",-0.813462037440006,"AVG","pct_change_yr"
"14410","Southeast","Southeast",4,"all_sports","churn","Residency",2012,"Resident",0.372144796071789,"AVG","pct_change_yr"
"14411","Southeast","Southeast",4,"fish","churn","Residency",2012,"Resident",0.112982519601492,"AVG","pct_change_yr"
"14412","Southeast","Southeast",4,"hunt","churn","Residency",2012,"Resident",-0.711055728600904,"AVG","pct_change_yr"
"14413","Southeast","Southeast",4,"all_sports","churn","Residency",2013,"Resident",0.344067367938642,"AVG","pct_change_yr"
"14414","Southeast","Southeast",4,"fish","churn","Residency",2013,"Resident",0.111513251534708,"AVG","pct_change_yr"
"14415","Southeast","Southeast",4,"hunt","churn","Residency",2013,"Resident",-0.863870446784301,"AVG","pct_change_yr"
"14416","Southeast","Southeast",4,"all_sports","churn","Residency",2014,"Resident",0.384622969741847,"AVG","pct_change_yr"
"14417","Southeast","Southeast",4,"fish","churn","Residency",2014,"Resident",0.111216288943113,"AVG","pct_change_yr"
"14418","Southeast","Southeast",4,"hunt","churn","Residency",2014,"Resident",-0.746243139962186,"AVG","pct_change_yr"
"14419","Southeast","Southeast",4,"all_sports","churn","Residency",2015,"Resident",0.392699199898599,"AVG","pct_change_yr"
"14420","Southeast","Southeast",4,"fish","churn","Residency",2015,"Resident",0.106773634299482,"AVG","pct_change_yr"
"14421","Southeast","Southeast",4,"hunt","churn","Residency",2015,"Resident",-0.808696378747807,"AVG","pct_change_yr"
