timeframe,group,segment,category,year,metric,value
full-year,hunt,age,25-34,2016,Participants,37772.61406184413
full-year,hunt,age,25-34,2017,Participants,36661.59390443581
full-year,hunt,age,25-34,2018,Participants,37781.38192476166
full-year,hunt,age,25-34,2014,Recruits,11155.61315290123
full-year,hunt,age,25-34,2015,Recruits,11410.350948968395
full-year,hunt,age,25-34,2016,Recruits,10079.398581820686
full-year,hunt,age,25-34,2017,Recruits,9599.24163802701
full-year,hunt,age,25-34,2018,Recruits,9949.678983833719
full-year,all_sports,age,35-44,2010,churn,0.53225222645
full-year,all_sports,age,35-44,2011,churn,0.53740571243
full-year,all_sports,age,35-44,2012,churn,0.54849881378
full-year,all_sports,age,35-44,2013,churn,0.53574712096
full-year,all_sports,age,35-44,2014,churn,0.5504855026
full-year,all_sports,age,35-44,2015,churn,0.5435716618499999
full-year,all_sports,age,35-44,2016,churn,0.54760670203
full-year,all_sports,age,35-44,2017,churn,0.54247020181
full-year,all_sports,age,35-44,2018,churn,0.53179641836
full-year,fish,age,35-44,2010,churn,0.5593050884299999
full-year,fish,age,35-44,2011,churn,0.5607535345600001
full-year,fish,age,35-44,2012,churn,0.5685142131200001
full-year,fish,age,35-44,2013,churn,0.5535508149399999
full-year,fish,age,35-44,2014,churn,0.5667482833899999
full-year,fish,age,35-44,2015,churn,0.55761065037
full-year,fish,age,35-44,2016,churn,0.55957467546
full-year,fish,age,35-44,2017,churn,0.55372150674
full-year,fish,age,35-44,2018,churn,0.54202608461
full-year,hunt,age,35-44,2010,churn,0.36138245649
full-year,hunt,age,35-44,2011,churn,0.37130099145000006
full-year,hunt,age,35-44,2012,churn,0.37882061551
full-year,hunt,age,35-44,2013,churn,0.36897347793
full-year,hunt,age,35-44,2014,churn,0.38863618642
full-year,hunt,age,35-44,2015,churn,0.38240588978
full-year,hunt,age,35-44,2016,churn,0.3431657665100001
full-year,hunt,age,35-44,2017,churn,0.36452694673999997
full-year,hunt,age,35-44,2018,churn,0.3467121178799999
full-year,all_sports,age,35-44,2009,Participants,257303.9194947856
full-year,all_sports,age,35-44,2010,Participants,283355.09422015713
full-year,all_sports,age,35-44,2011,Participants,302344.3408787964
full-year,all_sports,age,35-44,2012,Participants,303857.6241446729
full-year,all_sports,age,35-44,2013,Participants,321879.37442450016
full-year,all_sports,age,35-44,2014,Participants,327770.26727023243
full-year,all_sports,age,35-44,2015,Participants,339738.67466774135
full-year,all_sports,age,35-44,2016,Participants,336284.79104341194
full-year,all_sports,age,35-44,2017,Participants,336509.5442784409
full-year,all_sports,age,35-44,2018,Participants,339895.95971182495
full-year,all_sports,age,35-44,2014,Recruits,108551.11899531414
full-year,all_sports,age,35-44,2015,Recruits,111586.63439891688
full-year,all_sports,age,35-44,2016,Recruits,106516.53276443406
full-year,all_sports,age,35-44,2017,Recruits,103376.17253746824
full-year,all_sports,age,35-44,2018,Recruits,101519.21816928433
full-year,fish,age,35-44,2009,Participants,244535.48592330178
full-year,fish,age,35-44,2010,Participants,270765.4777531804
full-year,fish,age,35-44,2011,Participants,291132.09838497074
full-year,fish,age,35-44,2012,Participants,293020.6447652787
full-year,fish,age,35-44,2013,Participants,311730.4075927214
full-year,fish,age,35-44,2014,Participants,318397.1248434383
full-year,fish,age,35-44,2015,Participants,331505.40374695894
full-year,fish,age,35-44,2016,Participants,328725.0226881516
full-year,fish,age,35-44,2017,Participants,329375.3876579213
full-year,fish,age,35-44,2018,Participants,333149.8235256314
full-year,fish,age,35-44,2014,Recruits,108299.69299787898
full-year,fish,age,35-44,2015,Recruits,111447.5873486297
full-year,fish,age,35-44,2016,Recruits,106277.09452422852
full-year,fish,age,35-44,2017,Recruits,103205.56650244257
full-year,fish,age,35-44,2018,Recruits,101193.19141430692
full-year,hunt,age,35-44,2009,Participants,41544.16934112346
full-year,hunt,age,35-44,2010,Participants,40866.76538706177
full-year,hunt,age,35-44,2011,Participants,39289.301518875654
full-year,hunt,age,35-44,2012,Participants,38579.39201037678
full-year,hunt,age,35-44,2013,Participants,39849.02009600711
full-year,hunt,age,35-44,2014,Participants,38617.41977764979
full-year,hunt,age,35-44,2015,Participants,40450.453246877085
full-year,hunt,age,35-44,2016,Participants,40158.520735973136
full-year,hunt,age,35-44,2017,Participants,38229.62217256498
full-year,hunt,age,35-44,2018,Participants,38494.57459913186
full-year,hunt,age,35-44,2014,Recruits,9049.072081294318
full-year,hunt,age,35-44,2015,Recruits,11194.38216129076
full-year,hunt,age,35-44,2016,Recruits,8650.594946875646
full-year,hunt,age,35-44,2017,Recruits,8105.030374171063
full-year,hunt,age,35-44,2018,Recruits,8225.58583525789
full-year,all_sports,age,45-54,2010,churn,0.49764857784999994
full-year,all_sports,age,45-54,2011,churn,0.5030734653
full-year,all_sports,age,45-54,2012,churn,0.51469333214
full-year,all_sports,age,45-54,2013,churn,0.49741012604
full-year,all_sports,age,45-54,2014,churn,0.51005271223
full-year,all_sports,age,45-54,2015,churn,0.49793604462999996
