state,year,sex,agecat,pop
AL,2011,Male,65+,275855.24246412376
AL,2011,Female,0-17,559158.2732260696
AL,2011,Female,18-24,240431.7499140587
AL,2011,Female,25-34,309775.6322456136
AL,2011,Female,35-44,322337.2046094893
AL,2011,Female,45-54,357875.9316690484
AL,2011,Female,55-64,302869.6483082194
AL,2011,Female,65+,378488.75726204365
AL,2012,Male,0-17,582265.4807496914
AL,2012,Male,18-24,243101.34695517953
AL,2012,Male,25-34,301490.9900869231
AL,2012,Male,35-44,305391.9657959285
AL,2012,Male,45-54,336402.2026723736
AL,2012,Male,55-64,284121.0641392277
AL,2012,Male,65+,283296.5168188229
AL,2012,Female,0-17,557009.9390470736
AL,2012,Female,18-24,241418.98818041722
AL,2012,Female,25-34,311170.85306717607
AL,2012,Female,35-44,318675.4432877304
AL,2012,Female,45-54,355765.96064911626
AL,2012,Female,55-64,310135.6328984038
AL,2012,Female,65+,385317.6156519358
AL,2013,Male,0-17,577738.5873205485
AL,2013,Male,18-24,243458.64554598538
AL,2013,Male,25-34,304316.5130747819
AL,2013,Male,35-44,302818.84488851135
AL,2013,Male,45-54,333555.2636199161
AL,2013,Male,55-64,290018.21048462094
AL,2013,Male,65+,291815.8149071204
AL,2013,Female,0-17,552927.4190008204
AL,2013,Female,18-24,242248.8356266996
AL,2013,Female,25-34,312259.7908476631
AL,2013,Female,35-44,316554.5154113838
AL,2013,Female,45-54,352828.68304121646
AL,2013,Female,55-64,316738.70444235665
AL,2013,Female,65+,393180.17178837565
AL,2014,Male,0-17,573596.9413022207
AL,2014,Male,18-24,243686.15102088597
AL,2014,Male,25-34,305791.25093561667
AL,2014,Male,35-44,299266.8331204369
AL,2014,Male,45-54,329877.62038641854
AL,2014,Male,55-64,294679.3361386958
AL,2014,Male,65+,301148.47079568205
AL,2014,Female,0-17,550076.4703616556
AL,2014,Female,18-24,240652.61335855158
AL,2014,Female,25-34,315874.8989901359
AL,2014,Female,35-44,314669.7261415146
AL,2014,Female,45-54,348946.2893698998
AL,2014,Female,55-64,322501.84193505667
AL,2014,Female,65+,401712.5561432291
AL,2015,Male,0-17,569789.3276391022
AL,2015,Male,18-24,242463.09478286433
AL,2015,Male,25-34,306436.2113103494
AL,2015,Male,35-44,298747.5018941668
AL,2015,Male,45-54,324784.4277049323
AL,2015,Male,55-64,299041.86905200576
AL,2015,Male,65+,310754.26606936584
AL,2015,Female,0-17,547373.2183363626
AL,2015,Female,18-24,239068.3281400731
AL,2015,Female,25-34,318056.17904948024
AL,2015,Female,35-44,313511.0697591613
AL,2015,Female,45-54,343692.2430992295
AL,2015,Female,55-64,327514.1054108996
AL,2015,Female,65+,411928.157752007
AL,2016,Male,0-17,566057.8664407982
AL,2016,Male,18-24,240421.40066314628
AL,2016,Male,25-34,309664.04224996304
AL,2016,Male,35-44,297363.417122411
AL,2016,Male,45-54,320463.3901991339
AL,2016,Male,55-64,301658.2355028666
AL,2016,Male,65+,321992.8037637229
AL,2016,Female,0-17,544514.4384439362
AL,2016,Female,18-24,236457.18482063405
AL,2016,Female,25-34,319951.9108927109
AL,2016,Female,35-44,311805.4222145749
AL,2016,Female,45-54,339374.05634368095
AL,2016,Female,55-64,331003.48144681734
AL,2016,Female,65+,424017.3498956036
AL,2017,Male,0-17,565944.6352260291
AL,2017,Male,18-24,239125.32187563588
AL,2017,Male,25-34,310678.69834300573
AL,2017,Male,35-44,294453.661688008
AL,2017,Male,45-54,316147.01006499794
AL,2017,Male,55-64,304679.7362646062
AL,2017,Male,65+,331577.0762049992
AL,2017,Female,0-17,542272.4032282704
AL,2017,Female,18-24,234693.18537609797
AL,2017,Female,25-34,320562.0612310909
AL,2017,Female,35-44,310200.3090065476
AL,2017,Female,45-54,335491.62760311714
AL,2017,Female,55-64,335014.24328627344
AL,2017,Female,65+,434280.03060132096
AL,2018,Male,0-17,567424.8777726264
AL,2018,Male,18-24,239750.760219561
AL,2018,Male,25-34,311491.28635777696
AL,2018,Male,35-44,295223.812707918
AL,2018,Male,45-54,316973.90058776224
AL,2018,Male,55-64,305476.6338419192
AL,2018,Male,65+,332444.3244570812
AL,2018,Female,0-17,543690.7304517159
AL,2018,Female,18-24,235307.03135460324
AL,2018,Female,25-34,321400.49943215214
AL,2018,Female,35-44,311011.64578187675
AL,2018,Female,45-54,336369.1144636595
AL,2018,Female,55-64,335890.48153602803
AL,2018,Female,65+,435415.90103532
AL,2019,Male,0-17,568905.1203192235
AL,2019,Male,18-24,240376.1985634861
AL,2019,Male,25-34,312303.8743725482
AL,2019,Male,35-44,295993.963727828
AL,2019,Male,45-54,317800.79111052654
AL,2019,Male,55-64,306273.53141923214
AL,2019,Male,65+,333311.5727091632
AL,2019,Female,0-17,545109.0576751614
AL,2019,Female,18-24,235920.8773331085
AL,2019,Female,25-34,322238.93763321335
AL,2019,Female,35-44,311822.98255720583
AL,2019,Female,45-54,337246.6013242019
AL,2019,Female,55-64,336766.7197857825
AL,2019,Female,65+,436551.771469319
AK,2008,Male,0-17,94959.216835048
AK,2008,Male,18-24,41224.086089333025
AK,2008,Male,25-34,49109.25677347295
AK,2008,Male,35-44,49440.45781255199
AK,2008,Male,45-54,56868.11354781398
AK,2008,Male,55-64,41297.68632023947
AK,2008,Male,65+,24081.199874419297
AK,2008,Female,0-17,89187.5662951812
AK,2008,Female,18-24,34427.99990306559
AK,2008,Female,25-34,44769.826943137115
AK,2008,Female,35-44,46392.015816223924
AK,2008,Female,45-54,53017.03119551961
AK,2008,Female,55-64,36878.68867270747
AK,2008,Female,65+,25801.85392128636
AK,2009,Male,0-17,96539.44163607928
AK,2009,Male,18-24,41910.099784574115
AK,2009,Male,25-34,49926.48829770149
AK,2009,Male,35-44,50263.200882826546
AK,2009,Male,45-54,57814.46089998538
AK,2009,Male,55-64,41984.924803490794
AK,2009,Male,65+,24481.937270413735
AK,2009,Female,0-17,90671.7445445457
AK,2009,Female,18-24,35000.91932163272
AK,2009,Female,25-34,45514.84562833031
AK,2009,Female,35-44,47164.02949121007
AK,2009,Female,45-54,53899.2923426154
AK,2009,Female,55-64,37492.390221777256
AK,2009,Female,65+,26231.224874817162
AK,2010,Male,0-17,98612.93416127861
AK,2010,Male,18-24,42810.25289464965
AK,2010,Male,25-34,50998.818927963264
AK,2010,Male,35-44,51342.763490159705
AK,2010,Male,45-54,59056.21090902777
AK,2010,Male,55-64,42886.6850195822
AK,2010,Male,65+,25007.76498468581
AK,2010,Female,0-17,92619.20955339278
AK,2010,Female,18-24,35752.675737027064
AK,2010,Female,25-34,46492.42215660261
AK,2010,Female,35-44,48177.027504778
AK,2010,Female,45-54,55056.951615260085
AK,2010,Female,55-64,38297.65892397014
AK,2010,Female,65+,26794.624121622306
AK,2011,Male,0-17,98893.1243308506
AK,2011,Male,18-24,42587.385100392035
AK,2011,Male,25-34,52858.890694060115
AK,2011,Male,35-44,50406.42447085285
AK,2011,Male,45-54,58498.53255944388
AK,2011,Male,55-64,45060.46028345819
AK,2011,Male,65+,26312.489499830885
AK,2011,Female,0-17,92870.15581209157
AK,2011,Female,18-24,35521.60321277346
AK,2011,Female,25-34,48513.491507814295
AK,2011,Female,35-44,47357.32885973087
AK,2011,Female,45-54,55129.998070509195
AK,2011,Female,55-64,40055.57438172807
AK,2011,Female,65+,27972.541216464037
AK,2012,Male,0-17,99070.40218860166
AK,2012,Male,18-24,43120.0387223876
AK,2012,Male,25-34,54960.25515264948
AK,2012,Male,35-44,49763.21358974827
AK,2012,Male,45-54,58197.62175467805
AK,2012,Male,55-64,47023.98239444046
AK,2012,Male,65+,28015.751523963667
AK,2012,Female,0-17,92610.04815092408
AK,2012,Female,18-24,35934.56386585464
AK,2012,Female,25-34,50351.73232799776
AK,2012,Female,35-44,46333.782408221174
AK,2012,Female,45-54,54042.042670982744
AK,2012,Female,55-64,41708.826250564234
AK,2012,Female,65+,29266.738998986133
AK,2013,Male,0-17,99594.53632850027
AK,2013,Male,18-24,44030.3747174851
AK,2013,Male,25-34,57541.03140149601
AK,2013,Male,35-44,49087.15034096147
AK,2013,Male,45-54,56715.28920640385
AK,2013,Male,55-64,47940.115643689714
AK,2013,Male,65+,29617.233998689462
AK,2013,Female,0-17,92638.65597876487
AK,2013,Female,18-24,35929.506119536425
AK,2013,Female,25-34,51968.55061528551
AK,2013,Female,35-44,45419.9136281854
AK,2013,Female,45-54,52616.251742290886
AK,2013,Female,55-64,43175.98223557438
AK,2013,Female,65+,30770.408043136624
AK,2014,Male,0-17,97561.94124261981
AK,2014,Male,18-24,45280.4035644652
AK,2014,Male,25-34,59268.51787450227
AK,2014,Male,35-44,48848.20172868324
AK,2014,Male,45-54,54264.09710009612
AK,2014,Male,55-64,48182.96761362076
AK,2014,Male,65+,30891.93559247563
AK,2014,Female,0-17,92595.93824385556
AK,2014,Female,18-24,35488.925746258414
AK,2014,Female,25-34,53006.42044487163
AK,2014,Female,35-44,44487.78419332693
AK,2014,Female,45-54,50557.79274474805
AK,2014,Female,55-64,43838.72598379789
AK,2014,Female,65+,32033.34792667857
AK,2015,Male,0-17,97452.24727731379
AK,2015,Male,18-24,46377.337521731715
AK,2015,Male,25-34,60992.00669371059
AK,2015,Male,35-44,47917.04702505539
AK,2015,Male,45-54,52685.0174726436
AK,2015,Male,55-64,48371.6183480484
AK,2015,Male,65+,32550.122654849158
AK,2015,Female,0-17,91744.96352070905
AK,2015,Female,18-24,34890.36041724902
AK,2015,Female,25-34,53835.5254228737
AK,2015,Female,35-44,44220.13511505028
AK,2015,Female,45-54,48561.69352514062
AK,2015,Female,55-64,44419.26149105164
AK,2015,Female,65+,33529.66351457304
AK,2016,Male,0-17,97139.03158694723
AK,2016,Male,18-24,44797.86873672568
AK,2016,Male,25-34,61600.21422939384
AK,2016,Male,35-44,48331.020501998355
AK,2016,Male,45-54,52246.569781028826
AK,2016,Male,55-64,49202.48430966744
AK,2016,Male,65+,34409.73838272116
AK,2016,Female,0-17,91660.68404774345
AK,2016,Female,18-24,34237.65950153015
AK,2016,Female,25-34,54905.23881089223
AK,2016,Female,35-44,44305.783515074196
AK,2016,Female,45-54,47794.657673490714
AK,2016,Female,55-64,45540.52496081318
AK,2016,Female,65+,35332.52396197352
AK,2017,Male,0-17,96066.55566944006
AK,2017,Male,18-24,43791.2765078226
AK,2017,Male,25-34,62563.25923920034
AK,2017,Male,35-44,48214.57706498413
AK,2017,Male,45-54,50130.73964783059
AK,2017,Male,55-64,49197.19885995139
AK,2017,Male,65+,36994.05785272793
AK,2017,Female,0-17,90487.34731269421
AK,2017,Female,18-24,33212.81700053482
AK,2017,Female,25-34,55607.77937757679
AK,2017,Female,35-44,44243.02210367402
AK,2017,Female,45-54,46105.09541340302
AK,2017,Female,55-64,45703.43247784555
AK,2017,Female,65+,37468.841472314554
AK,2018,Male,0-17,95761.65090953403
AK,2018,Male,18-24,43652.28777697291
AK,2018,Male,25-34,62364.69028453826
AK,2018,Male,35-44,48061.54926106706
AK,2018,Male,45-54,49971.6301530671
AK,2018,Male,55-64,49041.05232173201
AK,2018,Male,65+,36876.64275182279
AK,2018,Female,0-17,90200.15035101853
AK,2018,Female,18-24,33107.403145288496
AK,2018,Female,25-34,55431.28635665108
AK,2018,Female,35-44,44102.59958162112
AK,2018,Female,45-54,45958.76287395151
AK,2018,Female,55-64,45558.374772701114
AK,2018,Female,65+,37349.91946003398
AK,2019,Male,0-17,95456.74614962799
AK,2019,Male,18-24,43513.299046123226
AK,2019,Male,25-34,62166.12132987617
AK,2019,Male,35-44,47908.52145715001
AK,2019,Male,45-54,49812.520658303605
AK,2019,Male,55-64,48884.90578351262
AK,2019,Male,65+,36759.22765091765
AK,2019,Female,0-17,89912.95338934285
AK,2019,Female,18-24,33001.98929004218
AK,2019,Female,25-34,55254.793335725364
AK,2019,Female,35-44,43962.17705956822
AK,2019,Female,45-54,45812.43033450001
AK,2019,Female,55-64,45413.31706755668
AK,2019,Female,65+,37230.99744775341
AZ,2008,Male,0-17,830329.129852392
AZ,2008,Male,18-24,321491.21699566627
AZ,2008,Male,25-34,438885.2669651227
AZ,2008,Male,35-44,421968.909734175
AZ,2008,Male,45-54,405475.8133135345
AZ,2008,Male,55-64,326732.2113047671
AZ,2008,Male,65+,380042.96600155986
AZ,2008,Female,0-17,791836.5249967345
AZ,2008,Female,18-24,297492.0274402191
AZ,2008,Female,25-34,418932.6920450354
AZ,2008,Female,35-44,411002.33272982587
AZ,2008,Female,45-54,419191.072159641
AZ,2008,Female,55-64,359322.28832832596
AZ,2008,Female,65+,457659.54813300085
AZ,2009,Male,0-17,838630.8848661463
AZ,2009,Male,18-24,324705.5343387735
AZ,2009,Male,25-34,443273.3076040658
AZ,2009,Male,35-44,426187.8180996527
AZ,2009,Male,45-54,409529.8212305277
AZ,2009,Male,55-64,329998.9288940158
AZ,2009,Male,65+,383842.692501588
AZ,2009,Female,0-17,799753.4251814045
AZ,2009,Female,18-24,300466.3972913561
AZ,2009,Female,25-34,423121.2438512676
AZ,2009,Female,35-44,415111.5956157505
AZ,2009,Female,45-54,423382.2072889613
AZ,2009,Female,55-64,362914.84638926457
AZ,2009,Female,65+,462235.29684722587
AZ,2010,Male,0-17,847174.3204787847
AZ,2010,Male,18-24,328013.4268523357
AZ,2010,Male,25-34,447789.0928328928
AZ,2010,Male,35-44,430529.54727816535
AZ,2010,Male,45-54,413701.84938054846
AZ,2010,Male,55-64,333360.74712909746
AZ,2010,Male,65+,387753.0365968839
AZ,2010,Female,0-17,807900.8020754893
AZ,2010,Female,18-24,303527.35696425184
AZ,2010,Female,25-34,427431.7327307223
AZ,2010,Female,35-44,419340.48731673864
AZ,2010,Female,45-54,427695.35469717695
AZ,2010,Female,55-64,366611.99096019473
AZ,2010,Female,65+,466944.2547067178
AZ,2011,Male,0-17,848260.1228034077
AZ,2011,Male,18-24,332709.1727693794
AZ,2011,Male,25-34,448882.0434225664
AZ,2011,Male,35-44,428574.0082387449
AZ,2011,Male,45-54,417547.13636060245
AZ,2011,Male,55-64,343987.32861991867
AZ,2011,Male,65+,400090.0506359654
AZ,2011,Female,0-17,809850.4482909559
AZ,2011,Female,18-24,307671.6872107733
AZ,2011,Female,25-34,428894.75282139773
AZ,2011,Female,35-44,417611.48957304546
AZ,2011,Female,45-54,431048.0317393342
AZ,2011,Female,55-64,378494.9512032825
AZ,2011,Female,65+,479875.77631062584
AZ,2012,Male,0-17,849453.9042065181
AZ,2012,Male,18-24,338121.07537553937
AZ,2012,Male,25-34,451742.0702365426
AZ,2012,Male,35-44,427646.81438872276
AZ,2012,Male,45-54,421952.3158929392
AZ,2012,Male,55-64,354536.7354609959
AZ,2012,Male,65+,416899.06210923474
AZ,2012,Female,0-17,812107.2803612365
AZ,2012,Female,18-24,312709.580381873
AZ,2012,Female,25-34,431707.00817971793
AZ,2012,Female,35-44,417511.6706938207
AZ,2012,Female,45-54,434015.2845994348
AZ,2012,Female,55-64,390293.0315115679
AZ,2012,Female,65+,497933.16660185595
AZ,2013,Male,0-17,847930.3004961801
AZ,2013,Male,18-24,344115.2162281203
AZ,2013,Male,25-34,453673.4911993651
AZ,2013,Male,35-44,428579.1434348148
AZ,2013,Male,45-54,424684.9987190771
AZ,2013,Male,55-64,363641.23399945954
AZ,2013,Male,65+,435947.60658875876
AZ,2013,Female,0-17,811965.5240431544
AZ,2013,Female,18-24,318866.2495174547
AZ,2013,Female,25-34,432847.03593420866
AZ,2013,Female,35-44,418395.7962883484
AZ,2013,Female,45-54,435247.21348185244
AZ,2013,Female,55-64,401000.6528671144
AZ,2013,Female,65+,518104.5372020909
AZ,2014,Male,0-17,848519.2417727854
AZ,2014,Male,18-24,348436.7571152764
AZ,2014,Male,25-34,459907.373527703
AZ,2014,Male,35-44,429693.1694565707
AZ,2014,Male,45-54,426759.0840165596
AZ,2014,Male,55-64,373089.642893502
AZ,2014,Male,65+,457970.8155615257
AZ,2014,Female,0-17,814531.4692641152
AZ,2014,Female,18-24,325046.1746218404
AZ,2014,Female,25-34,437811.9347297179
AZ,2014,Female,35-44,421776.57796155644
AZ,2014,Female,45-54,436103.20711250266
AZ,2014,Female,55-64,412085.5780280045
AZ,2014,Female,65+,542108.9739383399
AZ,2015,Male,0-17,849029.4921498697
AZ,2015,Male,18-24,352992.7031476403
AZ,2015,Male,25-34,468379.04750427883
AZ,2015,Male,35-44,432437.97601600015
AZ,2015,Male,45-54,428226.8631541926
AZ,2015,Male,55-64,381643.29192427255
AZ,2015,Male,65+,481581.3441675369
AZ,2015,Female,0-17,814930.0751992493
AZ,2015,Female,18-24,329484.34307448077
AZ,2015,Female,25-34,443366.49808248447
AZ,2015,Female,35-44,425024.03043032077
AZ,2015,Female,45-54,436656.290878793
AZ,2015,Female,55-64,421913.7948619738
AZ,2015,Female,65+,567930.2494089066
AZ,2016,Male,0-17,852981.7558517946
AZ,2016,Male,18-24,357698.29729346937
AZ,2016,Male,25-34,478713.0394405831
AZ,2016,Male,35-44,435303.557999262
AZ,2016,Male,45-54,429895.694935794
AZ,2016,Male,55-64,389416.71993409604
AZ,2016,Male,65+,507883.91368635604
AZ,2016,Female,0-17,818839.6526475063
AZ,2016,Female,18-24,332167.0728208951
AZ,2016,Female,25-34,449997.37947444164
AZ,2016,Female,35-44,427352.27546864667
AZ,2016,Female,45-54,437343.2482862276
AZ,2016,Female,55-64,431099.27736221196
AZ,2016,Female,65+,596760.114798716
AZ,2017,Male,0-17,856027.050674998
AZ,2017,Male,18-24,360249.0688307954
AZ,2017,Male,25-34,490608.7651214855
AZ,2017,Male,35-44,439910.27992351184
AZ,2017,Male,45-54,431614.0700651664
AZ,2017,Male,55-64,397779.19697101857
AZ,2017,Male,65+,527632.7364780866
AZ,2017,Female,0-17,823322.4908890614
AZ,2017,Female,18-24,334650.3706390623
AZ,2017,Female,25-34,459407.1494047089
AZ,2017,Female,35-44,431333.5619090077
AZ,2017,Female,45-54,438799.6332387951
AZ,2017,Female,55-64,439995.1569301724
AZ,2017,Female,65+,617546.4689241295
AZ,2018,Male,0-17,870936.4406275762
AZ,2018,Male,18-24,366523.5128954033
AZ,2018,Male,25-34,499153.67896221206
AZ,2018,Male,35-44,447572.1802131764
AZ,2018,Male,45-54,439131.4755893806
AZ,2018,Male,55-64,404707.301822364
AZ,2018,Male,65+,536822.4953924745
AZ,2018,Female,0-17,837662.2667918366
AZ,2018,Female,18-24,340478.96316975204
AZ,2018,Female,25-34,467408.6259142143
AZ,2018,Female,35-44,438846.08183354174
AZ,2018,Female,45-54,446442.1894382129
AZ,2018,Female,55-64,447658.5355193713
AZ,2018,Female,65+,628302.2518304845
AZ,2019,Male,0-17,885845.8305801544
AZ,2019,Male,18-24,372797.95696001116
AZ,2019,Male,25-34,507698.59280293854
AZ,2019,Male,35-44,455234.08050284104
AZ,2019,Male,45-54,446648.88111359475
AZ,2019,Male,55-64,411635.40667370934
AZ,2019,Male,65+,546012.2543068624
AZ,2019,Female,0-17,852002.0426946117
AZ,2019,Female,18-24,346307.5557004417
AZ,2019,Female,25-34,475410.1024237197
AZ,2019,Female,35-44,446358.60175807565
AZ,2019,Female,45-54,454084.7456376307
AZ,2019,Female,55-64,455321.9141085701
AZ,2019,Female,65+,639058.0347368394
AR,2008,Male,0-17,362439.78001618
AR,2008,Male,18-24,142284.56118668118
AR,2008,Male,25-34,184774.20221507133
AR,2008,Male,35-44,186567.3687339088
AR,2008,Male,45-54,196184.62510251737
AR,2008,Male,55-64,162301.58297397138
AR,2008,Male,65+,175310.0454432162
AR,2008,Female,0-17,344280.96706007345
AR,2008,Female,18-24,138714.23856435306
AR,2008,Female,25-34,184896.2816320904
AR,2008,Female,35-44,188138.3907398099
AR,2008,Female,45-54,203794.57564702554
AR,2008,Female,55-64,174018.20505492424
AR,2008,Female,65+,230849.17563017723
AR,2009,Male,0-17,365250.1012892473
AR,2009,Male,18-24,143387.82123477556
AR,2009,Male,25-34,186206.92262775855
AR,2009,Male,35-44,188013.99317780865
AR,2009,Male,45-54,197705.82077631928
AR,2009,Male,55-64,163560.05297763346
AR,2009,Male,65+,176669.38174473768
AR,2009,Female,0-17,346950.48674027494
AR,2009,Female,18-24,139789.81469315803
AR,2009,Female,25-34,186329.94863618832
AR,2009,Female,35-44,189597.19672891274
AR,2009,Female,45-54,205374.77810507524
AR,2009,Female,55-64,175367.52455717372
AR,2009,Female,65+,232639.1567109365
AR,2010,Male,0-17,368419.26209496066
AR,2010,Male,18-24,144631.95247928417
AR,2010,Male,25-34,187822.58181268803
AR,2010,Male,35-44,189645.33174828836
AR,2010,Male,45-54,199421.25230133213
AR,2010,Male,55-64,164979.2123630723
AR,2010,Male,65+,178202.28667267266
AR,2010,Female,0-17,349960.8675183208
AR,2010,Female,18-24,141002.72716108002
AR,2010,Female,25-34,187946.67527928585
AR,2010,Female,35-44,191242.27226106316
AR,2010,Female,45-54,207156.75077244831
AR,2010,Female,55-64,176889.13367777312
AR,2010,Female,65+,234657.69385773025
AR,2011,Male,0-17,368487.0361386747
AR,2011,Male,18-24,145709.11519036384
AR,2011,Male,25-34,189529.98549722228
AR,2011,Male,35-44,188259.7711973502
AR,2011,Male,45-54,200140.4886416375
AR,2011,Male,55-64,168699.89248213352
AR,2011,Male,65+,182290.47473935815
AR,2011,Female,0-17,350601.48466605524
AR,2011,Female,18-24,141662.90896735003
AR,2011,Female,25-34,188701.4524287206
AR,2011,Female,35-44,189337.06725823294
AR,2011,Female,45-54,207995.3070459625
AR,2011,Female,55-64,181386.80509356584
AR,2011,Female,65+,237605.2106533726
AR,2012,Male,0-17,367693.1397565194
AR,2012,Male,18-24,146950.92661292868
AR,2012,Male,25-34,190375.60768619366
AR,2012,Male,35-44,185915.61689832437
AR,2012,Male,45-54,199750.0912736784
AR,2012,Male,55-64,171978.90487667557
AR,2012,Male,65+,186126.1657144562
AR,2012,Female,0-17,350383.59766106657
AR,2012,Female,18-24,142502.0706182202
AR,2012,Female,25-34,189757.12053880646
AR,2012,Female,35-44,187344.91943860386
AR,2012,Female,45-54,207267.08891115402
AR,2012,Female,55-64,184833.51745387763
AR,2012,Female,65+,241230.23255949517
AR,2013,Male,0-17,366366.8601440869
AR,2013,Male,18-24,147258.64146106405
AR,2013,Male,25-34,191929.799956296
AR,2013,Male,35-44,183908.84706901858
AR,2013,Male,45-54,198317.30344426492
AR,2013,Male,55-64,174336.16769864273
AR,2013,Male,65+,190594.99232486603
AR,2013,Female,0-17,349933.4915116373
AR,2013,Female,18-24,142152.4725852765
AR,2013,Female,25-34,191096.4279959323
AR,2013,Female,35-44,185903.49157947738
AR,2013,Female,45-54,205155.79635872607
AR,2013,Female,55-64,187614.62819542986
AR,2013,Female,65+,244980.0796752812
AR,2014,Male,0-17,365919.06619668036
AR,2014,Male,18-24,147295.89807996916
AR,2014,Male,25-34,192587.65718165642
AR,2014,Male,35-44,183907.13949541168
AR,2014,Male,45-54,195902.7690404868
AR,2014,Male,55-64,175918.44497047205
AR,2014,Male,65+,195864.50225718317
AR,2014,Female,0-17,348619.4590815993
AR,2014,Female,18-24,142238.64056021033
AR,2014,Female,25-34,192069.0415658309
AR,2014,Female,35-44,185825.51376365952
AR,2014,Female,45-54,202319.50438813778
AR,2014,Female,55-64,189843.52601054078
AR,2014,Female,65+,249414.83740816198
AR,2015,Male,0-17,364559.37358326395
AR,2015,Male,18-24,147322.11104188752
AR,2015,Male,25-34,193777.16051102564
AR,2015,Male,35-44,183496.43857497512
AR,2015,Male,45-54,193510.35105915472
AR,2015,Male,55-64,177418.2172129208
AR,2015,Male,65+,201743.1845985813
AR,2015,Female,0-17,348094.71333253104
AR,2015,Female,18-24,142287.9704405505
AR,2015,Female,25-34,193517.3988559966
AR,2015,Female,35-44,185656.08489294874
AR,2015,Female,45-54,199783.89707654095
AR,2015,Female,55-64,192222.61789333273
AR,2015,Female,65+,255017.48092629053
AR,2016,Male,0-17,364202.83489620243
AR,2016,Male,18-24,147686.44515764338
AR,2016,Male,25-34,194005.24533160494
AR,2016,Male,35-44,183747.9969492722
AR,2016,Male,45-54,191312.4909684174
AR,2016,Male,55-64,179333.6125050194
AR,2016,Male,65+,207170.82960863365
AR,2016,Female,0-17,348257.86068724917
AR,2016,Female,18-24,142086.36229009402
AR,2016,Female,25-34,194158.36866239598
AR,2016,Female,35-44,185987.42566209147
AR,2016,Female,45-54,197430.37246772076
AR,2016,Female,55-64,193777.57511608663
AR,2016,Female,65+,261252.5796975683
AR,2017,Male,0-17,364258.89014031156
AR,2017,Male,18-24,147430.96727037177
AR,2017,Male,25-34,195612.9333046558
AR,2017,Male,35-44,184044.4210747415
AR,2017,Male,45-54,189208.50328615983
AR,2017,Male,55-64,180719.68390406267
AR,2017,Male,65+,212672.25350980405
AR,2017,Female,0-17,347396.2104411634
AR,2017,Female,18-24,141434.94445664526
AR,2017,Female,25-34,195402.17501873773
AR,2017,Female,35-44,186506.96525757367
AR,2017,Female,45-54,195089.56703484012
AR,2017,Female,55-64,195718.81665404048
AR,2017,Female,65+,267500.66864689195
AR,2018,Male,0-17,365572.30978822976
AR,2018,Male,18-24,147962.56371006306
AR,2018,Male,25-34,196318.2609629328
AR,2018,Male,35-44,184708.03578744264
AR,2018,Male,45-54,189890.7382912506
AR,2018,Male,55-64,181371.31050818955
AR,2018,Male,65+,213439.0924913296
AR,2018,Female,0-17,348648.8277986423
AR,2018,Female,18-24,141944.92084975407
AR,2018,Female,25-34,196106.74273928592
AR,2018,Female,35-44,187179.45924268558
AR,2018,Female,45-54,195793.0075750249
AR,2018,Female,55-64,196424.52609921477
AR,2018,Female,65+,268465.2041559546
AR,2019,Male,0-17,366885.7294361479
AR,2019,Male,18-24,148494.16014975435
AR,2019,Male,25-34,197023.58862120978
AR,2019,Male,35-44,185371.65050014376
AR,2019,Male,45-54,190572.97329634137
