timeframe,group,segment,year,category,metric,value,state
full-year,hunt,age,2016,25-34,participants,91899,MO
full-year,hunt,age,2017,25-34,participants,90772,MO
full-year,hunt,age,2018,25-34,participants,88922,MO
full-year,hunt,age,2009,35-44,participants,100033,MO
full-year,hunt,age,2010,35-44,participants,95396,MO
full-year,hunt,age,2011,35-44,participants,92371,MO
full-year,hunt,age,2012,35-44,participants,93264,MO
full-year,hunt,age,2013,35-44,participants,93012,MO
full-year,hunt,age,2014,35-44,participants,92702,MO
full-year,hunt,age,2015,35-44,participants,91899,MO
full-year,hunt,age,2016,35-44,participants,89386,MO
full-year,hunt,age,2017,35-44,participants,88927,MO
full-year,hunt,age,2018,35-44,participants,88745,MO
full-year,hunt,age,2009,45-54,participants,119579,MO
full-year,hunt,age,2010,45-54,participants,118007,MO
full-year,hunt,age,2011,45-54,participants,115496,MO
full-year,hunt,age,2012,45-54,participants,113435,MO
full-year,hunt,age,2013,45-54,participants,110232,MO
full-year,hunt,age,2014,45-54,participants,107428,MO
full-year,hunt,age,2015,45-54,participants,104766,MO
full-year,hunt,age,2016,45-54,participants,100247,MO
full-year,hunt,age,2017,45-54,participants,96101,MO
full-year,hunt,age,2018,45-54,participants,91214,MO
full-year,hunt,age,2009,55-64,participants,82032,MO
full-year,hunt,age,2010,55-64,participants,83649,MO
full-year,hunt,age,2011,55-64,participants,85632,MO
full-year,hunt,age,2012,55-64,participants,88162,MO
full-year,hunt,age,2013,55-64,participants,90130,MO
full-year,hunt,age,2014,55-64,participants,92714,MO
full-year,hunt,age,2015,55-64,participants,94880,MO
full-year,hunt,age,2016,55-64,participants,96463,MO
full-year,hunt,age,2017,55-64,participants,97426,MO
full-year,hunt,age,2018,55-64,participants,97586,MO
full-year,hunt,all,2014,all,recruits,48143,MO
full-year,hunt,all,2015,all,recruits,47098,MO
full-year,hunt,all,2016,all,recruits,45415,MO
full-year,hunt,all,2017,all,recruits,45162,MO
full-year,hunt,all,2018,all,recruits,43516,MO
full-year,hunt,residency,2014,resident,recruits,32335,MO
full-year,hunt,residency,2015,resident,recruits,30322,MO
full-year,hunt,residency,2016,resident,recruits,28540,MO
full-year,hunt,residency,2017,resident,recruits,28057,MO
full-year,hunt,residency,2018,resident,recruits,26419,MO
full-year,hunt,residency,2014,nonresident,recruits,15808,MO
full-year,hunt,residency,2015,nonresident,recruits,16776,MO
full-year,hunt,residency,2016,nonresident,recruits,16875,MO
full-year,hunt,residency,2017,nonresident,recruits,17105,MO
full-year,hunt,residency,2018,nonresident,recruits,17097,MO
full-year,hunt,gender,2014,male,recruits,36629,MO
full-year,hunt,gender,2015,male,recruits,36179,MO
full-year,hunt,gender,2016,male,recruits,35195,MO
full-year,hunt,gender,2017,male,recruits,35232,MO
full-year,hunt,gender,2018,male,recruits,34527,MO
full-year,hunt,gender,2014,female,recruits,11514,MO
full-year,hunt,gender,2015,female,recruits,10919,MO
full-year,hunt,gender,2016,female,recruits,10220,MO
full-year,hunt,gender,2017,female,recruits,9930,MO
full-year,hunt,gender,2018,female,recruits,8989,MO
full-year,hunt,age,2014,18-24,recruits,8718,MO
full-year,hunt,age,2015,18-24,recruits,8172,MO
full-year,hunt,age,2016,18-24,recruits,7684,MO
full-year,hunt,age,2017,18-24,recruits,7992,MO
full-year,hunt,age,2018,18-24,recruits,7484,MO
full-year,hunt,age,2014,25-34,recruits,12882,MO
full-year,hunt,age,2015,25-34,recruits,12480,MO
full-year,hunt,age,2016,25-34,recruits,12001,MO
full-year,hunt,age,2017,25-34,recruits,11969,MO
full-year,hunt,age,2018,25-34,recruits,11653,MO
full-year,hunt,age,2014,35-44,recruits,9869,MO
full-year,hunt,age,2015,35-44,recruits,9845,MO
full-year,hunt,age,2016,35-44,recruits,9116,MO
full-year,hunt,age,2017,35-44,recruits,9161,MO
full-year,hunt,age,2018,35-44,recruits,9147,MO
full-year,hunt,age,2014,45-54,recruits,9534,MO
full-year,hunt,age,2015,45-54,recruits,9449,MO
full-year,hunt,age,2016,45-54,recruits,9001,MO
full-year,hunt,age,2017,45-54,recruits,8652,MO
full-year,hunt,age,2018,45-54,recruits,7949,MO
full-year,hunt,age,2014,55-64,recruits,7140,MO
full-year,hunt,age,2015,55-64,recruits,7152,MO
full-year,hunt,age,2016,55-64,recruits,7614,MO
full-year,hunt,age,2017,55-64,recruits,7387,MO
full-year,hunt,age,2018,55-64,recruits,7283,MO
full-year,hunt,all,2010,all,churn,0.206346744767724,MO
full-year,hunt,all,2011,all,churn,0.204699327448885,MO
