timeframe,group,category,year,metric,value,segment,state
Mid-year,fish,35-44,2019,recruits,67685.00176955128,age,FL
Mid-year,all_sports,35-44,2015,participants,171113.60891266912,age,FL
Mid-year,all_sports,35-44,2016,participants,176065.35178987123,age,FL
Mid-year,all_sports,35-44,2017,participants,181017.09466707334,age,FL
Mid-year,all_sports,35-44,2018,participants,185968.83754427545,age,FL
Mid-year,all_sports,35-44,2019,participants,190920.58042147756,age,FL
Mid-year,all_sports,35-44,2015,recruits,60060.65806254649,age,FL
Mid-year,all_sports,35-44,2016,recruits,61798.713484620326,age,FL
Mid-year,all_sports,35-44,2017,recruits,63536.76890669416,age,FL
Mid-year,all_sports,35-44,2018,recruits,65274.82432876799,age,FL
Mid-year,all_sports,35-44,2019,recruits,67012.87975084182,age,FL
Mid-year,all_sports,45-54,2009,participants,139142.75500338714,age,FL
Mid-year,all_sports,45-54,2010,participants,169140.82497259436,age,FL
Mid-year,all_sports,45-54,2011,participants,188067.81189465275,age,FL
Mid-year,all_sports,45-54,2012,participants,187582.6337732065,age,FL
Mid-year,all_sports,45-54,2013,participants,195299.75762881542,age,FL
Mid-year,all_sports,45-54,2014,participants,196688.64041978773,age,FL
Mid-year,all_sports,45-54,2014,recruits,61681.8045975743,age,FL
Mid-year,fish,45-54,2009,participants,135699.1258035872,age,FL
Mid-year,fish,45-54,2010,participants,165802.9260556924,age,FL
Mid-year,fish,45-54,2011,participants,185028.12890731366,age,FL
Mid-year,fish,45-54,2012,participants,184647.39240222363,age,FL
Mid-year,fish,45-54,2013,participants,192365.72465643816,age,FL
Mid-year,fish,45-54,2014,participants,193816.09694107968,age,FL
Mid-year,fish,45-54,2014,recruits,61715.16141075484,age,FL
Mid-year,hunt,45-54,2009,participants,18689.64843716349,age,FL
Mid-year,hunt,45-54,2010,participants,18784.032041195824,age,FL
Mid-year,hunt,45-54,2011,participants,18721.502876836777,age,FL
Mid-year,hunt,45-54,2012,participants,18361.87987626992,age,FL
Mid-year,hunt,45-54,2013,participants,19350.65032510814,age,FL
Mid-year,hunt,45-54,2014,participants,18506.05814145643,age,FL
Mid-year,hunt,45-54,2014,recruits,3949.929682182313,age,FL
Mid-year,hunt,45-54,2015,participants,18766.784546811185,age,FL
Mid-year,hunt,45-54,2016,participants,18774.10451169044,age,FL
Mid-year,hunt,45-54,2017,participants,18781.424476569693,age,FL
Mid-year,hunt,45-54,2018,participants,18788.744441448947,age,FL
Mid-year,hunt,45-54,2019,participants,18796.064406328205,age,FL
Mid-year,hunt,45-54,2015,recruits,4005.5790786970915,age,FL
Mid-year,hunt,45-54,2016,recruits,4007.141450668912,age,FL
Mid-year,hunt,45-54,2017,recruits,4008.703822640733,age,FL
Mid-year,hunt,45-54,2018,recruits,4010.266194612554,age,FL
Mid-year,hunt,45-54,2019,recruits,4011.8285665843755,age,FL
Mid-year,fish,45-54,2015,participants,203341.2350485213,age,FL
Mid-year,fish,45-54,2016,participants,209677.6288005095,age,FL
Mid-year,fish,45-54,2017,participants,216014.02255249955,age,FL
Mid-year,fish,45-54,2018,participants,222350.4163044896,age,FL
Mid-year,fish,45-54,2019,participants,228686.81005647965,age,FL
Mid-year,fish,45-54,2015,recruits,64748.16767307369,age,FL
Mid-year,fish,45-54,2016,recruits,66765.81001206336,age,FL
Mid-year,fish,45-54,2017,recruits,68783.45235105364,age,FL
Mid-year,fish,45-54,2018,recruits,70801.0946900439,age,FL
Mid-year,fish,45-54,2019,recruits,72818.73702903416,age,FL
Mid-year,all_sports,45-54,2015,participants,206054.20672637783,age,FL
Mid-year,all_sports,45-54,2016,participants,212286.96438923106,age,FL
Mid-year,all_sports,45-54,2017,participants,218519.72205208614,age,FL
Mid-year,all_sports,45-54,2018,participants,224752.47971494123,age,FL
Mid-year,all_sports,45-54,2019,participants,230985.23737779632,age,FL
Mid-year,all_sports,45-54,2015,recruits,64618.85795071039,age,FL
Mid-year,all_sports,45-54,2016,recruits,66573.45857962129,age,FL
Mid-year,all_sports,45-54,2017,recruits,68528.05920853277,age,FL
Mid-year,all_sports,45-54,2018,recruits,70482.65983744425,age,FL
Mid-year,all_sports,45-54,2019,recruits,72437.26046635574,age,FL
Mid-year,all_sports,55-64,2009,participants,116151.93486100942,age,FL
Mid-year,all_sports,55-64,2010,participants,140370.66040945146,age,FL
Mid-year,all_sports,55-64,2011,participants,157346.62788913288,age,FL
Mid-year,all_sports,55-64,2012,participants,161937.6881393664,age,FL
Mid-year,all_sports,55-64,2013,participants,170311.73068427303,age,FL
Mid-year,all_sports,55-64,2014,participants,176007.3760567481,age,FL
Mid-year,all_sports,55-64,2014,recruits,52150.46406144814,age,FL
Mid-year,fish,55-64,2009,participants,114035.34581973932,age,FL
Mid-year,fish,55-64,2010,participants,138174.24297237516,age,FL
Mid-year,fish,55-64,2011,participants,155213.11581243438,age,FL
Mid-year,fish,55-64,2012,participants,159897.12319900887,age,FL
Mid-year,fish,55-64,2013,participants,168417.8396647347,age,FL
Mid-year,fish,55-64,2014,participants,173959.207168664,age,FL
Mid-year,fish,55-64,2014,recruits,52077.812499540676,age,FL
Mid-year,hunt,55-64,2009,participants,12534.923688782323,age,FL
Mid-year,hunt,55-64,2010,participants,12691.440766700043,age,FL
Mid-year,hunt,55-64,2011,participants,12923.475680274561,age,FL
Mid-year,hunt,55-64,2012,participants,13058.510723762332,age,FL
Mid-year,hunt,55-64,2013,participants,13703.085765976548,age,FL
Mid-year,hunt,55-64,2014,participants,13798.567312988873,age,FL
Mid-year,hunt,55-64,2014,recruits,2952.5376197706687,age,FL
Mid-year,hunt,55-64,2015,participants,14133.175003424403,age,FL
Mid-year,hunt,55-64,2016,participants,14432.561321252375,age,FL
Mid-year,hunt,55-64,2017,participants,14731.94763908023,age,FL
Mid-year,hunt,55-64,2018,participants,15031.333956908202,age,FL
Mid-year,hunt,55-64,2019,participants,15330.720274736173,age,FL
Mid-year,hunt,55-64,2015,recruits,3024.135037927662,age,FL
Mid-year,hunt,55-64,2016,recruits,3088.1959905020367,age,FL
Mid-year,hunt,55-64,2017,recruits,3152.2569430763874,age,FL
Mid-year,hunt,55-64,2018,recruits,3216.3178956507622,age,FL
Mid-year,hunt,55-64,2019,recruits,3280.3788482251375,age,FL
Mid-year,fish,55-64,2015,participants,184564.70143691078,age,FL
Mid-year,fish,55-64,2016,participants,193042.16666139662,age,FL
Mid-year,fish,55-64,2017,participants,201519.63188588247,age,FL
Mid-year,fish,55-64,2018,participants,209997.09711037204,age,FL
Mid-year,fish,55-64,2019,participants,218474.56233485788,age,FL
Mid-year,fish,55-64,2015,recruits,55252.75765453446,age,FL
Mid-year,fish,55-64,2016,recruits,57790.63910167224,age,FL
Mid-year,fish,55-64,2017,recruits,60328.520548810026,age,FL
Mid-year,fish,55-64,2018,recruits,62866.40199594892,age,FL
Mid-year,fish,55-64,2019,recruits,65404.28344308671,age,FL
Mid-year,all_sports,55-64,2015,participants,186466.37686271966,age,FL
Mid-year,all_sports,55-64,2016,participants,194890.2302716896,age,FL
Mid-year,all_sports,55-64,2017,participants,203314.08368066326,age,FL
Mid-year,all_sports,55-64,2018,participants,211737.93708963692,age,FL
Mid-year,all_sports,55-64,2019,participants,220161.7904986106,age,FL
Mid-year,all_sports,55-64,2015,recruits,55249.43501295313,age,FL
Mid-year,all_sports,55-64,2016,recruits,57745.397820339975,age,FL
Mid-year,all_sports,55-64,2017,recruits,60241.36062772793,age,FL
Mid-year,all_sports,55-64,2018,recruits,62737.32343511589,age,FL
Mid-year,all_sports,55-64,2019,recruits,65233.28624250384,age,FL
Mid-year,all_sports,all,2009,participants,524249,all,FL
Mid-year,all_sports,all,2010,participants,635498,all,FL
Mid-year,all_sports,all,2011,participants,722658,all,FL
Mid-year,all_sports,all,2012,participants,730908,all,FL
Mid-year,all_sports,all,2013,participants,772300,all,FL
Mid-year,all_sports,all,2014,participants,790769,all,FL
Mid-year,all_sports,all,2014,recruits,282120,all,FL
Mid-year,fish,all,2009,participants,510947,all,FL
Mid-year,fish,all,2010,participants,622060,all,FL
Mid-year,fish,all,2011,participants,710492,all,FL
Mid-year,fish,all,2012,participants,718919,all,FL
Mid-year,fish,all,2013,participants,760331,all,FL
Mid-year,fish,all,2014,participants,778689,all,FL
Mid-year,fish,all,2014,recruits,282526,all,FL
Mid-year,hunt,all,2009,participants,71708,all,FL
Mid-year,hunt,all,2010,participants,71936,all,FL
Mid-year,hunt,all,2011,participants,71748,all,FL
Mid-year,hunt,all,2012,participants,70656,all,FL
Mid-year,hunt,all,2013,participants,76137,all,FL
Mid-year,hunt,all,2014,participants,75146,all,FL
Mid-year,hunt,all,2014,recruits,20461,all,FL
Mid-year,hunt,all,2015,participants,76367.29999999981,all,FL
Mid-year,hunt,all,2016,participants,77448.19999999972,all,FL
Mid-year,hunt,all,2017,participants,78529.09999999963,all,FL
Mid-year,hunt,all,2018,participants,79609.99999999953,all,FL
Mid-year,hunt,all,2019,participants,80690.89999999944,all,FL
Mid-year,hunt,all,2015,recruits,20793.539580283665,all,FL
Mid-year,hunt,all,2016,recruits,21087.85058685751,all,FL
Mid-year,hunt,all,2017,recruits,21382.161593431352,all,FL
Mid-year,hunt,all,2018,recruits,21676.4726000052,all,FL
Mid-year,hunt,all,2019,recruits,21970.783606579043,all,FL
Mid-year,fish,all,2015,participants,827027.3000000119,all,FL
Mid-year,fish,all,2016,participants,863337.0000000149,all,FL
Mid-year,fish,all,2017,participants,899646.700000003,all,FL
Mid-year,fish,all,2018,participants,935956.400000006,all,FL
Mid-year,fish,all,2019,participants,972266.1000000089,all,FL
Mid-year,fish,all,2015,recruits,300064.22969863884,all,FL
Mid-year,fish,all,2016,recruits,313238.21096998185,all,FL
Mid-year,fish,all,2017,recruits,326412.1922413195,all,FL
Mid-year,fish,all,2018,recruits,339586.1735126626,all,FL
Mid-year,fish,all,2019,recruits,352760.1547840056,all,FL
Mid-year,all_sports,all,2015,participants,838481.8000000119,all,FL
Mid-year,all_sports,all,2016,participants,874500.200000003,all,FL
Mid-year,all_sports,all,2017,participants,910518.6000000089,all,FL
Mid-year,all_sports,all,2018,participants,946537,all,FL
Mid-year,all_sports,all,2019,participants,982555.400000006,all,FL
Mid-year,all_sports,all,2015,recruits,299142.3353925146,all,FL
Mid-year,all_sports,all,2016,recruits,311992.4989775786,all,FL
Mid-year,all_sports,all,2017,recruits,324842.6625626479,all,FL
Mid-year,all_sports,all,2018,recruits,337692.82614771195,all,FL
Mid-year,all_sports,all,2019,recruits,350542.98973278125,all,FL
Mid-year,all_sports,female,2009,participants,114033,gender,FL
Mid-year,all_sports,female,2010,participants,133405,gender,FL
Mid-year,all_sports,female,2011,participants,163928,gender,FL
Mid-year,all_sports,female,2012,participants,165728,gender,FL
Mid-year,all_sports,female,2013,participants,175477,gender,FL
Mid-year,all_sports,female,2014,participants,183186,gender,FL
Mid-year,all_sports,female,2014,recruits,78306,gender,FL
Mid-year,fish,female,2009,participants,112802,gender,FL
Mid-year,fish,female,2010,participants,132213,gender,FL
Mid-year,fish,female,2011,participants,162789,gender,FL
Mid-year,fish,female,2012,participants,164552,gender,FL
Mid-year,fish,female,2013,participants,174291,gender,FL
Mid-year,fish,female,2014,participants,181872,gender,FL
Mid-year,fish,female,2014,recruits,78415,gender,FL
Mid-year,hunt,female,2009,participants,5170,gender,FL
Mid-year,hunt,female,2010,participants,5169,gender,FL
Mid-year,hunt,female,2011,participants,5374,gender,FL
Mid-year,hunt,female,2012,participants,5482,gender,FL
Mid-year,hunt,female,2013,participants,6518,gender,FL
Mid-year,hunt,female,2014,participants,6795,gender,FL
Mid-year,hunt,female,2014,recruits,2747,gender,FL
Mid-year,hunt,female,2015,participants,7186.40000000014,gender,FL
Mid-year,hunt,female,2016,participants,7626.000000000116,gender,FL
Mid-year,hunt,female,2017,participants,8065.600000000093,gender,FL
Mid-year,hunt,female,2018,participants,8505.20000000007,gender,FL
Mid-year,hunt,female,2019,participants,8944.79999999993,gender,FL
Mid-year,hunt,female,2015,recruits,2905.2304341428085,gender,FL
Mid-year,hunt,female,2016,recruits,3082.946578366493,gender,FL
Mid-year,hunt,female,2017,recruits,3260.6627225901775,gender,FL
Mid-year,hunt,female,2018,recruits,3438.3788668138623,gender,FL
Mid-year,hunt,female,2019,recruits,3616.0950110374993,gender,FL
Mid-year,fish,female,2015,participants,196389.40000000224,gender,FL
Mid-year,fish,female,2016,participants,207471.40000000224,gender,FL
Mid-year,fish,female,2017,participants,218553.40000000224,gender,FL
Mid-year,fish,female,2018,participants,229635.3999999985,gender,FL
Mid-year,fish,female,2019,participants,240717.3999999985,gender,FL
Mid-year,fish,female,2015,recruits,84674.24782814382,gender,FL
Mid-year,fish,female,2016,recruits,89452.30618786936,gender,FL
Mid-year,fish,female,2017,recruits,94230.36454759487,gender,FL
Mid-year,fish,female,2018,recruits,99008.42290731879,gender,FL
Mid-year,fish,female,2019,recruits,103786.4812670443,gender,FL
Mid-year,all_sports,female,2015,participants,197678.10000000522,gender,FL
Mid-year,all_sports,female,2016,participants,208789.2000000067,gender,FL
Mid-year,all_sports,female,2017,participants,219900.30000000447,gender,FL
Mid-year,all_sports,female,2018,participants,231011.40000000596,gender,FL
Mid-year,all_sports,female,2019,participants,242122.50000000373,gender,FL
Mid-year,all_sports,female,2015,recruits,84500.89689496145,gender,FL
Mid-year,all_sports,female,2016,recruits,89250.52730667478,gender,FL
Mid-year,all_sports,female,2017,recruits,94000.1577183865,gender,FL
Mid-year,all_sports,female,2018,recruits,98749.78813009983,gender,FL
Mid-year,all_sports,female,2019,recruits,103499.41854181157,gender,FL
Mid-year,all_sports,male,2009,participants,410216,gender,FL
Mid-year,all_sports,male,2010,participants,502093,gender,FL
Mid-year,all_sports,male,2011,participants,558730,gender,FL
Mid-year,all_sports,male,2012,participants,565180,gender,FL
Mid-year,all_sports,male,2013,participants,596823,gender,FL
Mid-year,all_sports,male,2014,participants,607583,gender,FL
Mid-year,all_sports,male,2014,recruits,203814,gender,FL
Mid-year,fish,male,2009,participants,398145,gender,FL
Mid-year,fish,male,2010,participants,489847,gender,FL
Mid-year,fish,male,2011,participants,547703,gender,FL
Mid-year,fish,male,2012,participants,554367,gender,FL
Mid-year,fish,male,2013,participants,586040,gender,FL
Mid-year,fish,male,2014,participants,596817,gender,FL
Mid-year,fish,male,2014,recruits,204111,gender,FL
Mid-year,hunt,male,2009,participants,66538,gender,FL
Mid-year,hunt,male,2010,participants,66767,gender,FL
Mid-year,hunt,male,2011,participants,66374,gender,FL
Mid-year,hunt,male,2012,participants,65174,gender,FL
Mid-year,hunt,male,2013,participants,69619,gender,FL
Mid-year,hunt,male,2014,participants,68351,gender,FL
Mid-year,hunt,male,2014,recruits,17714,gender,FL
Mid-year,hunt,male,2015,participants,69180.8999999999,gender,FL
Mid-year,hunt,male,2016,participants,69822.19999999995,gender,FL
Mid-year,hunt,male,2017,participants,70463.49999999977,gender,FL
Mid-year,hunt,male,2018,participants,71104.79999999958,gender,FL
Mid-year,hunt,male,2019,participants,71746.09999999963,gender,FL
Mid-year,hunt,male,2015,recruits,17929.07876402684,gender,FL
Mid-year,hunt,male,2016,recruits,18095.27952480577,gender,FL
Mid-year,hunt,male,2017,recruits,18261.480285584643,gender,FL
Mid-year,hunt,male,2018,recruits,18427.681046363516,gender,FL
Mid-year,hunt,male,2019,recruits,18593.881807142447,gender,FL
Mid-year,fish,male,2015,participants,630637.8999999985,gender,FL
Mid-year,fish,male,2016,participants,655865.599999994,gender,FL
Mid-year,fish,male,2017,participants,681093.299999997,gender,FL
Mid-year,fish,male,2018,participants,706320.9999999925,gender,FL
Mid-year,fish,male,2019,participants,731548.6999999955,gender,FL
Mid-year,fish,male,2015,recruits,215677.72433911852,gender,FL
Mid-year,fish,male,2016,recruits,224305.58023916674,gender,FL
Mid-year,fish,male,2017,recruits,232933.43613921752,gender,FL
Mid-year,fish,male,2018,recruits,241561.29203926577,gender,FL
Mid-year,fish,male,2019,recruits,250189.14793931655,gender,FL
Mid-year,all_sports,male,2015,participants,640803.700000003,gender,FL
Mid-year,all_sports,male,2016,participants,665711.0000000075,gender,FL
Mid-year,all_sports,male,2017,participants,690618.3000000045,gender,FL
Mid-year,all_sports,male,2018,participants,715525.6000000015,gender,FL
Mid-year,all_sports,male,2019,participants,740432.8999999985,gender,FL
Mid-year,all_sports,male,2015,recruits,214957.8992694012,gender,FL
Mid-year,all_sports,male,2016,recruits,223313.06464137658,gender,FL
Mid-year,all_sports,male,2017,recruits,231668.23001334944,gender,FL
Mid-year,all_sports,male,2018,recruits,240023.39538532234,gender,FL
Mid-year,all_sports,male,2019,recruits,248378.5607572952,gender,FL
Mid-year,all_sports,nonresident,2009,participants,76397,residency,FL
Mid-year,all_sports,nonresident,2010,participants,180257,residency,FL
Mid-year,all_sports,nonresident,2011,participants,200326,residency,FL
Mid-year,all_sports,nonresident,2012,participants,215066,residency,FL
Mid-year,all_sports,nonresident,2013,participants,252096,residency,FL
Mid-year,all_sports,nonresident,2014,participants,262294,residency,FL
Mid-year,all_sports,nonresident,2015,participants,266253,residency,FL
Mid-year,all_sports,nonresident,2016,participants,291483,residency,FL
Mid-year,all_sports,nonresident,2017,participants,300782,residency,FL
Mid-year,all_sports,nonresident,2018,participants,301001,residency,FL
Mid-year,all_sports,nonresident,2019,participants,315796,residency,FL
Mid-year,all_sports,nonresident,2014,recruits,131580,residency,FL
Mid-year,all_sports,nonresident,2015,recruits,129915,residency,FL
Mid-year,all_sports,nonresident,2016,recruits,137918,residency,FL
Mid-year,all_sports,nonresident,2017,recruits,137714,residency,FL
Mid-year,all_sports,nonresident,2018,recruits,134430,residency,FL
Mid-year,all_sports,nonresident,2019,recruits,142259,residency,FL
Mid-year,fish,nonresident,2009,participants,74031,residency,FL
Mid-year,fish,nonresident,2010,participants,177360,residency,FL
Mid-year,fish,nonresident,2011,participants,197577,residency,FL
Mid-year,fish,nonresident,2012,participants,212273,residency,FL
Mid-year,fish,nonresident,2013,participants,248886,residency,FL
Mid-year,fish,nonresident,2014,participants,258832,residency,FL
Mid-year,fish,nonresident,2015,participants,263045,residency,FL
Mid-year,fish,nonresident,2016,participants,287901,residency,FL
Mid-year,fish,nonresident,2017,participants,297228,residency,FL
Mid-year,fish,nonresident,2018,participants,297247,residency,FL
Mid-year,fish,nonresident,2019,participants,311491,residency,FL
