timeframe,group,segment,year,category,metric,value,state
mid-year,hunt,age,2014,25-34,participants,4706,SC
mid-year,hunt,age,2015,25-34,participants,8636,SC
mid-year,hunt,age,2016,25-34,participants,6255,SC
mid-year,hunt,age,2017,25-34,participants,6637,SC
mid-year,hunt,age,2018,25-34,participants,7347,SC
mid-year,hunt,age,2019,25-34,participants,8397,SC
mid-year,hunt,age,2014,25-34,recruits,1180,SC
mid-year,hunt,age,2015,25-34,recruits,1501,SC
mid-year,hunt,age,2016,25-34,recruits,1380,SC
mid-year,hunt,age,2017,25-34,recruits,1399,SC
mid-year,hunt,age,2018,25-34,recruits,1516,SC
mid-year,fish,age,2009,25-34,participants,39968,SC
mid-year,fish,age,2010,25-34,participants,41903,SC
mid-year,fish,age,2011,25-34,participants,41863,SC
mid-year,fish,age,2012,25-34,participants,45883,SC
mid-year,fish,age,2013,25-34,participants,42146,SC
mid-year,fish,age,2014,25-34,participants,45785,SC
mid-year,fish,age,2015,25-34,participants,49585,SC
mid-year,fish,age,2016,25-34,participants,52111,SC
mid-year,fish,age,2017,25-34,participants,51381,SC
mid-year,fish,age,2018,25-34,participants,49794,SC
mid-year,fish,age,2019,25-34,participants,53257,SC
mid-year,fish,age,2014,25-34,recruits,18517,SC
mid-year,fish,age,2015,25-34,recruits,20504,SC
mid-year,fish,age,2016,25-34,recruits,20560,SC
mid-year,fish,age,2017,25-34,recruits,18952,SC
mid-year,fish,age,2018,25-34,recruits,17642,SC
mid-year,all_sports,age,2009,25-34,participants,41732,SC
mid-year,all_sports,age,2010,25-34,participants,44088,SC
mid-year,all_sports,age,2011,25-34,participants,44332,SC
mid-year,all_sports,age,2012,25-34,participants,47981,SC
mid-year,all_sports,age,2013,25-34,participants,44605,SC
mid-year,all_sports,age,2014,25-34,participants,48043,SC
mid-year,all_sports,age,2015,25-34,participants,54921,SC
mid-year,all_sports,age,2016,25-34,participants,55032,SC
mid-year,all_sports,age,2017,25-34,participants,54066,SC
mid-year,all_sports,age,2018,25-34,participants,52657,SC
mid-year,all_sports,age,2019,25-34,participants,56568,SC
mid-year,all_sports,age,2014,25-34,recruits,18829,SC
mid-year,all_sports,age,2015,25-34,recruits,20812,SC
mid-year,all_sports,age,2016,25-34,recruits,20789,SC
mid-year,all_sports,age,2017,25-34,recruits,19194,SC
mid-year,all_sports,age,2018,25-34,recruits,18e3,SC
mid-year,hunt,age,2019,25-34,recruits,1566.1999999999825,SC
mid-year,fish,age,2019,25-34,recruits,18244.399999999674,SC
mid-year,all_sports,age,2019,25-34,recruits,18541.99999999965,SC
mid-year,hunt,age,2009,35-44,participants,8031,SC
mid-year,hunt,age,2010,35-44,participants,11355,SC
mid-year,hunt,age,2011,35-44,participants,11902,SC
mid-year,hunt,age,2012,35-44,participants,8531,SC
mid-year,hunt,age,2013,35-44,participants,8420,SC
mid-year,hunt,age,2014,35-44,participants,6511,SC
mid-year,hunt,age,2015,35-44,participants,11333,SC
mid-year,hunt,age,2016,35-44,participants,8164,SC
mid-year,hunt,age,2017,35-44,participants,8343,SC
mid-year,hunt,age,2018,35-44,participants,8882,SC
mid-year,hunt,age,2019,35-44,participants,9624,SC
mid-year,hunt,age,2014,35-44,recruits,1399,SC
mid-year,hunt,age,2015,35-44,recruits,1835,SC
