timeframe,group,segment,year,category,metric,value
mid-year,hunt,Age,2014,25-34,participants,24093
mid-year,hunt,Age,2015,25-34,participants,24603
mid-year,hunt,Age,2008,35-44,participants,41653
mid-year,hunt,Age,2009,35-44,participants,40135
mid-year,hunt,Age,2010,35-44,participants,35864
mid-year,hunt,Age,2011,35-44,participants,32527
mid-year,hunt,Age,2012,35-44,participants,31063
mid-year,hunt,Age,2013,35-44,participants,29716
mid-year,hunt,Age,2014,35-44,participants,27208
mid-year,hunt,Age,2015,35-44,participants,26925
mid-year,hunt,Age,2008,45-54,participants,50091
mid-year,hunt,Age,2009,45-54,participants,50460
mid-year,hunt,Age,2010,45-54,participants,47197
mid-year,hunt,Age,2011,45-54,participants,44755
mid-year,hunt,Age,2012,45-54,participants,43737
mid-year,hunt,Age,2013,45-54,participants,42029
mid-year,hunt,Age,2014,45-54,participants,38809
mid-year,hunt,Age,2015,45-54,participants,38068
mid-year,hunt,Age,2008,55-64,participants,35698
mid-year,hunt,Age,2009,55-64,participants,37062
mid-year,hunt,Age,2010,55-64,participants,36332
mid-year,hunt,Age,2011,55-64,participants,35973
mid-year,hunt,Age,2012,55-64,participants,36783
mid-year,hunt,Age,2013,55-64,participants,37033
mid-year,hunt,Age,2014,55-64,participants,36227
mid-year,hunt,Age,2015,55-64,participants,37601
mid-year,hunt,All,2013,All,recruits,3387
mid-year,hunt,All,2014,All,recruits,3157
mid-year,hunt,All,2015,All,recruits,3089
mid-year,hunt,Residency,2013,Resident,recruits,2741
mid-year,hunt,Residency,2014,Resident,recruits,2526
mid-year,hunt,Residency,2015,Resident,recruits,2425
mid-year,hunt,Residency,2013,Nonresident,recruits,646
mid-year,hunt,Residency,2014,Nonresident,recruits,631
mid-year,hunt,Residency,2015,Nonresident,recruits,664
mid-year,hunt,Gender,2013,Male,recruits,2444
mid-year,hunt,Gender,2014,Male,recruits,2280
mid-year,hunt,Gender,2015,Male,recruits,2180
mid-year,hunt,Gender,2013,Female,recruits,943
mid-year,hunt,Gender,2014,Female,recruits,877
mid-year,hunt,Gender,2015,Female,recruits,909
mid-year,hunt,Age,2013,18-24,recruits,587
mid-year,hunt,Age,2014,18-24,recruits,582
mid-year,hunt,Age,2015,18-24,recruits,516
mid-year,hunt,Age,2013,25-34,recruits,945
mid-year,hunt,Age,2014,25-34,recruits,864
mid-year,hunt,Age,2015,25-34,recruits,888
mid-year,hunt,Age,2013,35-44,recruits,707
mid-year,hunt,Age,2014,35-44,recruits,687
mid-year,hunt,Age,2015,35-44,recruits,594
mid-year,hunt,Age,2013,45-54,recruits,679
mid-year,hunt,Age,2014,45-54,recruits,582
mid-year,hunt,Age,2015,45-54,recruits,608
mid-year,hunt,Age,2013,55-64,recruits,469
mid-year,hunt,Age,2014,55-64,recruits,442
mid-year,hunt,Age,2015,55-64,recruits,483
mid-year,fish,All,2008,All,participants,823781
mid-year,fish,All,2009,All,participants,885542
mid-year,fish,All,2010,All,participants,861418
mid-year,fish,All,2011,All,participants,811013
mid-year,fish,All,2012,All,participants,874736
mid-year,fish,All,2013,All,participants,812867
mid-year,fish,All,2014,All,participants,808015
mid-year,fish,All,2015,All,participants,835660
mid-year,fish,Residency,2008,Resident,participants,678621
mid-year,fish,Residency,2009,Resident,participants,729003
mid-year,fish,Residency,2010,Resident,participants,709594
mid-year,fish,Residency,2011,Resident,participants,668772
mid-year,fish,Residency,2012,Resident,participants,718266
mid-year,fish,Residency,2013,Resident,participants,670399
mid-year,fish,Residency,2014,Resident,participants,667264
mid-year,fish,Residency,2015,Resident,participants,684533
mid-year,fish,Residency,2008,Nonresident,participants,145160
mid-year,fish,Residency,2009,Nonresident,participants,156539
mid-year,fish,Residency,2010,Nonresident,participants,151824
mid-year,fish,Residency,2011,Nonresident,participants,142241
mid-year,fish,Residency,2012,Nonresident,participants,156470
mid-year,fish,Residency,2013,Nonresident,participants,142468
mid-year,fish,Residency,2014,Nonresident,participants,140751
mid-year,fish,Residency,2015,Nonresident,participants,151127
mid-year,fish,Gender,2008,Male,participants,598243
mid-year,fish,Gender,2009,Male,participants,641036
mid-year,fish,Gender,2010,Male,participants,621663
mid-year,fish,Gender,2011,Male,participants,585073
mid-year,fish,Gender,2012,Male,participants,624201
mid-year,fish,Gender,2013,Male,participants,581744
mid-year,fish,Gender,2014,Male,participants,574071
mid-year,fish,Gender,2015,Male,participants,592445
mid-year,fish,Gender,2008,Female,participants,225538
mid-year,fish,Gender,2009,Female,participants,244506
mid-year,fish,Gender,2010,Female,participants,239755
mid-year,fish,Gender,2011,Female,participants,225940
mid-year,fish,Gender,2012,Female,participants,250535
mid-year,fish,Gender,2013,Female,participants,231123
mid-year,fish,Gender,2014,Female,participants,233944
mid-year,fish,Gender,2015,Female,participants,243215
mid-year,fish,Age,2008,18-24,participants,101364
mid-year,fish,Age,2009,18-24,participants,108304
mid-year,fish,Age,2010,18-24,participants,103597
mid-year,fish,Age,2011,18-24,participants,97610
mid-year,fish,Age,2012,18-24,participants,109113
mid-year,fish,Age,2013,18-24,participants,104552
mid-year,fish,Age,2014,18-24,participants,105538
mid-year,fish,Age,2015,18-24,participants,107295
mid-year,fish,Age,2008,25-34,participants,157728
mid-year,fish,Age,2009,25-34,participants,172761
mid-year,fish,Age,2010,25-34,participants,169778
mid-year,fish,Age,2011,25-34,participants,161197
mid-year,fish,Age,2012,25-34,participants,175967
mid-year,fish,Age,2013,25-34,participants,162946
mid-year,fish,Age,2014,25-34,participants,164956
mid-year,fish,Age,2015,25-34,participants,171941
mid-year,fish,Age,2008,35-44,participants,187755
